Address,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,HOA / Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"27207 Plantation Dr NE, Atlanta, GA 30324",Sold 10/15/2019,"$265,000 ",3 bds,2 ba,"1,720 sqft",Condo,1985,1985,Forced air,Central,,$510/month,"GreenEnergyEfficient:,Programmable Thermostat, Double Pane/Thermo,Great solar potentialSun Number™: 77.81","$265,203 ","$247,000 - $286,000","+$2,082 (+0.8 %)"
"1065 Peachtree St NE, Atlanta, GA 30309",Sold 10/15/2019,$1.75M,3 bds,3.5 ba,#NAME?,Condo,2015,2015,Gas,Central,,,,"$1,968,002 ",$1.85M - $2.13M,"-$22,695 (-1.1 %)"
"1245 S Ponce De Leon Avenue Ne F # 6, Atlanta, GA 30306",Sold 10/11/2019,"$385,000 ",3 bds,3 ba,"1,920 sqft",Condo,1981,,Forced air,Central,2 spaces,$353/month,,"$385,330 ","$366,000 - $405,000","+$10,940 (+2.9 %)"
"1245 S Ponce De Leon Ave NE APT 6, Atlanta, GA 30306",Sold 10/11/2019,"$385,000 ",3 bds,3 ba,"1,920 sqft",Condo,1981,1981,Forced air,Central,,$29/month,,"$385,330 ","$366,000 - $405,000","+$6,923 (+1.8 %)"
"270 17th St NW UNIT 2508, Atlanta, GA 30363",Sold 10/08/2019,"$659,000 ",3 bds,3 ba,"2,135 sqft",Condo,2009,2009,"Forced air, Heat pump",Central,2 spaces,$851/month,,"$659,590 ","$613,000 - $712,000","-$14,702 (-2.2 %)"
"1090 Hollywood Rd NW APT 214, Atlanta, GA 30318",Sold 10/08/2019,"$3,703 ",3 bds,2 ba,"1,086 sqft",Condo,1970,1995,Forced air,Central,2 spaces,,,"$115,284 ","$91,000 - $142,000",-$166 (-0.1 %)
"700 Park Regency Pl NE APT 1601, Atlanta, GA 30326",Sold 10/04/2019,"$678,500 ",3 bds,3.5 ba,"2,245 sqft",Condo,2001,2001,Forced air,Central,,"$1,200/month",,"$679,419 ","$632,000 - $734,000","+$24,021 (+3.7 %)"
"3344 Peachtree Rd NE UNIT 4302, Atlanta, GA 30326",Sold 10/04/2019,$2.23M,3 bds,4 ba,"3,702 sqft",Condo,2008,2008,Heat pump,Central,Attached Garage,,,"$2,246,505 ",$2.04M - $2.54M,"+$26,271 (+1.2 %)"
"3630 Peachtree Rd NE UNIT 2807, Atlanta, GA 30326",Sold 10/03/2019,$2.02M,3 bds,3.5 ba,"2,792 sqft",Condo,2009,2009,Forced air,Central,,"$1,278/month",,"$2,021,991 ",$1.88M - $2.18M,"+$17,523 (+0.9 %)"
"400 17th St NW UNIT 1123, Atlanta, GA 30363",Sold 10/01/2019,"$293,000 ",3 bds,2 ba,"1,450 sqft",Condo,2004,2004,"Forced air, Heat pump",Central,4 spaces,$539/month,,"$293,299 ","$273,000 - $317,000",+$585 (+0.2 %)
"400 17th St NW, Atlanta, GA 30363",Sold 10/01/2019,"$293,000 ",3 bds,2 ba,"1,450 sqft",Condo,2004,2004,Forced air,Central,,$276/month,,"$293,299 ","$273,000 - $317,000","+$3,755 (+1.3 %)"
"3475 Oak Valley Rd NE APT 2940, Atlanta, GA 30326",,$1.29M,3 bds,4 ba,"2,907 sqft",Condo,1992,1992,Forced air,Central,3 spaces,"$1,271/month",,"$1,296,395 ",$1.21M - $1.40M,"-$2,435 (-0.2 %)"
"3635 E Paces Cir NE UNIT 1403, Atlanta, GA 30326",Sold 09/27/2019,"$424,000 ",3 bds,2.5 ba,"1,714 sqft",Condo,2008,2008,Forced air,Central,,$514/month,,"$424,456 ","$395,000 - $458,000",+$130 (+0.0 %)
"3344 Peachtree Rd NE UNIT 4503, Atlanta, GA 30326",,$2.90M,3 bds,5 ba,"4,474 sqft",Condo,2008,2008,"Forced air, Heat pump",Central,2 spaces,"$4,151/month",,"$2,902,124 ",$2.70M - $3.13M,+$893 (+0.0 %)
"1236 Defoor Ct NW, Atlanta, GA 30318",Sold 09/25/2019,"$315,000 ",3 bds,3 ba,"1,715 sqft",Condo,1982,1982,Forced air,Central,2 spaces,$330/month,,"$315,348 ","$293,000 - $341,000",+$81 (+0.0 %)
"3338 Peachtree Rd NE APT 3103, Atlanta, GA 30326",Sold 09/25/2019,"$555,000 ",3 bds,2 ba,"1,742 sqft",Condo,2004,2019,Heat pump,Central,2 spaces,$714/month,,"$555,613 ","$517,000 - $600,000",+$142 (+0.0 %)
"115 Biscayne Dr NW APT G1, Atlanta, GA 30309",Sold 09/24/2019,"$263,000 ",3 bds,2 ba,"1,300 sqft",Condo,1964,1995,"Baseboard, Forced air",Central,2 spaces,$486/month,,"$263,294 ","$245,000 - $284,000",+$61 (+0.0 %)
"867 Peachtree St NE UNIT 403, Atlanta, GA 30308",,"$970,000 ",3 bds,3 ba,"2,092 sqft",Condo,2016,2016,Forced air,Central,Attached Garage,,,"$971,086 ","$903,000 - $1.05M",+$225 (+0.0 %)
"270 Lakemoore Dr NE APT D, Atlanta, GA 30342",Sold 09/23/2019,"$280,000 ",3 bds,3 ba,"1,426 sqft",Condo,1952,1952,Forced air,Central,"Carport, Off street",$382/month,,"$280,317 ","$261,000 - $303,000",+$58 (+0.0 %)
"1820 Peachtree St NW UNIT 802, Atlanta, GA 30309",Sold 09/23/2019,"$689,000 ",3 bds,3 ba,"1,888 sqft",Condo,2010,2010,Forced air,Central,2 spaces,$425/month,,"$689,781 ","$641,000 - $745,000",+$142 (+0.0 %)
"63 W Wieuca Rd NE UNIT 9, Atlanta, GA 30342",Sold 09/23/2019,$1.20M,3 bds,2.5 ba,"3,377 sqft",Condo,1998,1998,Forced air,Central,,,,"$1,201,360 ",$1.12M - $1.30M,"+$208,211 (+21.0 %)"
"4266 Roswell Rd NE, Atlanta, GA 30342",Sold 09/17/2019,"$175,000 ",3 bds,2 ba,767 sqft,Condo,1964,1964,Forced air,Central,Off street,,,"$178,165 ","$169,000 - $187,000","+$28,246 (+18.8 %)"
"2100 Howell Mill Rd NW # 38, Atlanta, GA 30318",Sold 09/17/2019,"$350,000 ",3 bds,3 ba,"2,300 sqft",Condo,1980,1980,Forced air,Central,2 spaces,,,"$350,426 ","$326,000 - $378,000","-$1,546 (-0.4 %)"
"4266 Roswell Rd NE APT F1, Atlanta, GA 30342",Sold 09/17/2019,"$175,000 ",3 bds,2 ba,"1,310 sqft",Condo,1964,1964,Forced air,Central,1 space,$312/month,,"$175,213 ","$163,000 - $189,000",+$9 (+0.0 %)
"270 17th St NW UNIT 2608, Atlanta, GA 30363",Sold 09/16/2019,"$684,900 ",3 bds,3 ba,"2,135 sqft",Condo,2009,,"Forced air, Heat pump",Central,2 spaces,$851/month,,"$685,724 ","$638,000 - $741,000",+$54 (+0.0 %)
"3630 Peachtree Rd NE UNIT 2803, Atlanta, GA 30326",Sold 09/16/2019,$1.98M,3 bds,4 ba,"2,699 sqft",Condo,2010,2010,Forced air,Central,2 spaces,"$2,106/month",,"$1,982,438 ",$1.84M - $2.14M,+$54 (+0.0 %)
"204 Pharr Rd NE, Sout, GA 30305",Sold 09/16/2019,"$557,000 ",3 bds,3.5 ba,"2,563 sqft",Condo,1989,1990,Forced air,Central,,$250/month,,"$557,686 ","$519,000 - $602,000","-$123,305 (-18.1 %)"
"1112 Hampton Way NE, Atlanta, GA 30324",Sold 09/13/2019,"$260,000 ",3 bds,3 ba,"1,800 sqft",Condo,1974,1974,"Forced air, Heat pump",Central,4 spaces,$395/month,Great solar potentialSun Number™: 85.01,"$260,331 ","$240,000 - $284,000",-$13 (-0.0 %)
"10 Normandy Ct NE, Atlanta, GA 30324",Sold 09/12/2019,"$282,500 ",3 bds,2 ba,"1,550 sqft",Condo,1983,,Forced air,Central,,$475/month,"GreenEnergyEfficient:,Water Heater-gas,Great solar potentialSun Number™: 73.81","$282,863 ","$260,000 - $308,000",-$21 (-0.0 %)
"10 Normandy Ct NE # 10, Atlanta, GA 30324",Sold 09/12/2019,"$282,500 ",3 bds,2 ba,"1,550 sqft",Condo,1983,,Forced air,Central,1 space,$475/month,,"$282,863 ","$260,000 - $308,000",-$21 (-0.0 %)
"750 Park Ave NE, Atlanta, GA 30326",Sold 09/10/2019,$1.49M,3 bds,2.5 ba,"3,407 sqft",Condo,1999,1999,Forced air,Central,,,,"$1,491,960 ",$1.37M - $1.63M,"+$249,846 (+20.1 %)"
"2500 Peachtree Rd NW APT 704N, Atlanta, GA 30305",Sold 09/06/2019,$1.66M,3 bds,4 ba,"3,744 sqft",Condo,2000,2000,Forced air,Central,,"$1,542/month",,"$1,665,632 ",$1.53M - $1.82M,-$379 (-0.0 %)
"791 Myrtle St NE # B, Atlanta, GA 30308",Sold 09/06/2019,"$401,500 ",3 bds,2 ba,"1,500 sqft",Condo,1920,1982,Forced air,Central,1 space,$225/month,,"$402,050 ","$370,000 - $438,000","+$2,765 (+0.7 %)"
"750 Park Ave NE APT 22W, Atlanta, GA 30326",Sold 09/04/2019,$1.05M,3 bds,2.5 ba,"2,842 sqft",Condo,1999,1999,Other,Central,2 spaces,"$1,580/month",,"$1,051,469 ","$967,000 - $1.15M",-$293 (-0.0 %)
"750 Park Ave NE, Atlanta, GA 30326",Sold 09/04/2019,$1.05M,3 bds,2.5 ba,"2,842 sqft",Condo,1999,1999,Forced air,Central,,,,"$1,051,469 ","$967,000 - $1.15M","+$183,755 (+21.2 %)"
"694 Bellemeade Ave NW, Atlanta, GA 30318",Sold 08/29/2019,"$465,000 ",3 bds,2 ba,"1,080 sqft",Multi Family,1935,1980,Forced air,Central,4 spaces,,,"$465,699 ","$428,000 - $508,000",-$179 (-0.0 %)
"270 17th St NW, Atlanta, GA 30363",Sold 08/28/2019,$1.35M,3 bds,2.5 ba,"2,983 sqft",Condo,2009,2009,Forced air,Central,,$729/month,,"$1,352,059 ",$1.24M - $1.47M,-$533 (-0.0 %)
"3530 Piedmont Rd NE APT 7E, Atlanta, GA 30305",Sold 08/27/2019,"$326,500 ",3 bds,2 ba,"1,808 sqft",Condo,1983,1983,Forced air,Central,2 spaces,$925/month,,"$327,004 ","$301,000 - $356,000",-$132 (-0.0 %)
"270 17th St NW UNIT 4005, Atlanta, GA 30363",Sold 08/27/2019,"$879,000 ",3 bds,3 ba,"2,033 sqft",Condo,2009,,Heat pump,Central,2 spaces,$811/month,,"$880,359 ","$810,000 - $960,000",-$355 (-0.0 %)
"3435 Kingsboro Rd NE, Atlanta, GA 30326",Sold 08/26/2019,"$820,000 ",3 bds,3 ba,"3,098 sqft",Condo,1991,1991,Forced air,Central,2 spaces,$95/month,"Energy Related:,Programmable Thermostat, Water Heater-electric,Great solar potentialSun Number™: 90.61","$821,285 ","$756,000 - $895,000","-$249,530 (-23.3 %)"
"3435 Kingsboro Rd NE # 1, Atlanta, GA 30326",Sold 08/26/2019,"$820,000 ",3 bds,3 ba,"3,200 sqft",Condo,1991,1991,Forced air,Central,2 spaces,"$1,180/month",,"$821,285 ","$756,000 - $895,000",-$339 (-0.0 %)
"2632 Peachtree Rd NW # 102B, Atlanta, GA 30305",Sold 08/22/2019,"$245,000 ",3 bds,2 ba,"1,665 sqft",Condo,1960,1960,Forced air,Central,,$57/month,,"$245,404 ","$226,000 - $267,000","-$5,959 (-2.4 %)"
"2632 Peachtree Rd NW APT B102, Atlanta, GA 30305",Sold 08/22/2019,"$245,000 ",3 bds,2 ba,"1,665 sqft",Condo,1960,1960,Forced air,Central,2 spaces,$715/month,,"$245,404 ","$226,000 - $267,000",-$111 (-0.0 %)
"3275 Lenox Rd NE APT 414, Atlanta, GA 30324",Sold 08/21/2019,"$438,500 ",3 bds,4 ba,"2,707 sqft",Condo,2001,2001,Forced air,Central,4 spaces,$82/month,,"$439,233 ","$404,000 - $479,000",-$202 (-0.0 %)
"867 Peachtree St NE UNIT 902, Atlanta, GA 30308",Sold 08/21/2019,$1.54M,3 bds,3 ba,#NAME?,Condo,2016,2016,Forced air,Central,Attached Garage,,,"$1,547,583 ",$1.42M - $1.69M,-$713 (-0.0 %)
"162 Elysian Way NW, Atlanta, GA 30327",Sold 08/20/2019,"$238,000 ",3 bds,2 ba,"1,346 sqft",Condo,1968,1968,Other,Central,,$543/month,,"$238,402 ","$219,000 - $260,000",-$112 (-0.0 %)
"2216 Bohler Rd NW, Atlanta, GA 30327",Sold 08/20/2019,"$449,000 ",3 bds,2.5 ba,"1,849 sqft",Condo,1980,1980,Forced air,Central,2 spaces,,,"$449,760 ","$414,000 - $490,000",-$211 (-0.0 %)
"70 Old Ivy Rd NE # 52, Atlanta, GA 30342",Sold 08/20/2019,"$352,000 ",3 bds,2.5 ba,"1,612 sqft",Condo,1969,1969,Forced air,Central,,$425/month,,"$352,595 ","$324,000 - $384,000",-$166 (-0.0 %)
"3648 Peachtree Rd NE APT 2E, Atlanta, GA 30319",Sold 08/16/2019,"$249,000 ",3 bds,3 ba,"1,971 sqft",Condo,1961,1961,Forced air,Central,,$674/month,,"$249,442 ","$229,000 - $269,000",-$127 (-0.1 %)
"3203 Lenox Rd NE APT 27, Atlanta, GA 30324",Sold 08/14/2019,"$290,000 ",3 bds,2 ba,"1,781 sqft",Condo,1985,1985,Heat pump,Central,,"$7,008/month",,"$290,527 ","$267,000 - $314,000",-$153 (-0.1 %)
"3203 Lenox Rd NE APT 27, Atlanta, GA 30324",Sold 08/14/2019,"$290,000 ",3 bds,2 ba,"1,781 sqft",Condo,1985,1985,Heat pump,Central,,"$7,008/month",,"$290,527 ","$267,000 - $314,000",-$153 (-0.1 %)
"78 Lindbergh Dr NE UNIT 10, Atlanta, GA 30305",Sold 08/05/2019,"$719,740 ",3 bds,3.5 ba,"2,506 sqft",Condo,1996,1996,Forced air,Central,,,,"$721,185 ","$663,000 - $786,000",-$442 (-0.1 %)
"2479 Peachtree Rd NE APT 1804, Atlanta, GA 30305",Sold 08/05/2019,"$247,500 ",3 bds,2 ba,"1,676 sqft",Condo,1960,1995,Forced air,Central,2 spaces,"$1,080/month",,"$247,996 ","$228,000 - $270,000",-$152 (-0.1 %)
"3325 Piedmont Rd NE UNIT 2802, Atlanta, GA 30305",Sold 08/02/2019,$1.04M,3 bds,4 ba,"2,762 sqft",Condo,2008,2008,Forced air,Central,2 spaces,"$1,500/month",,"$1,041,151 ","$958,000 - $1.13M",-$668 (-0.1 %)
"1820 Peachtree St NW, Atlanta, GA 30309",Sold 08/02/2019,"$659,000 ",3 bds,3 ba,"1,834 sqft",Multi Family,2010,2010,Forced air,Central,Attached Garage,,,"$660,364 ","$608,000 - $720,000",-$424 (-0.1 %)
"3286 Northside Dr NW, Atlanta, GA 30305",Sold 08/02/2019,"$670,000 ",3 bds,3 ba,"2,475 sqft",Condo,2001,2001,Forced air,Central,,,,"$671,387 ","$618,000 - $732,000",-$431 (-0.1 %)
"1820 Peachtree St NW, Atlanta, GA 30309",Sold 08/02/2019,"$659,000 ",3 bds,3 ba,"1,834 sqft",Multi Family,2010,2010,Forced air,Central,Attached Garage,,,"$660,364 ","$608,000 - $720,000",-$424 (-0.1 %)
"3286 Northside Pkwy NW APT 1105, Atlanta, GA 30327",Sold 08/02/2019,"$670,000 ",3 bds,4 ba,"2,475 sqft",Condo,2001,,Forced air,Central,,"$1,884/month",,"$671,387 ","$618,000 - $732,000",-$431 (-0.1 %)
"31 Brittany Way NE, Atlanta, GA 30324",Sold 08/02/2019,"$268,000 ",3 bds,2 ba,"1,550 sqft",Condo,1988,1988,Forced air,Central,1 space,$475/month,"GreenEnergyEfficient:,Programmable Thermostat, Water Heater-electric,Great solar potentialSun Number™: 73.81","$268,554 ","$247,000 - $293,000",-$172 (-0.1 %)
"1820 Peachtree St NW UNIT 1108, Atlanta, GA 30309",Sold 08/01/2019,"$659,000 ",3 bds,3 ba,"1,709 sqft",Condo,2010,2010,Forced air,Central,2 spaces,$627/month,,"$660,253 ","$607,000 - $713,000",-$374 (-0.1 %)
"1060 Niles Ave NW, Atlanta, GA 30318",Sold 07/31/2019,"$225,000 ",3 bds,2 ba,"1,075 sqft",Miscellaneous,1920,1920,Other,Central,,,,,,
"270 17th St NW, Atlanta, GA 30363",Sold 07/30/2019,"$347,000 ",3 bds,3 ba,"1,368 sqft",Condo,2009,2009,Other,Central,2 spaces,,,,,
"3113 Lenox Rd NE APT 5, Atlanta, GA 30324",Sold 07/30/2019,"$740,000 ",3 bds,4 ba,"3,300 sqft",Condo,2009,2009,Forced air,Central,2 spaces,,,"$737,536 ","$701,000 - $774,000","-$5,769 (-0.8 %)"
"136 Peachtree Memorial Dr NW APT VA2, Atlanta, GA 30309",,"$267,500 ",3 bds,2 ba,"1,364 sqft",Condo,1975,2016,Forced air,Central,2 spaces,"$3,900/month",,"$268,081 ","$247,000 - $292,000",-$168 (-0.1 %)
"1301 Peachtree St NE, Atlanta, GA 30309",Sold 07/29/2019,$1.55M,3 bds,2 ba,#NAME?,Condo,2017,2017,Other,,,,,"$1,553,429 ",$1.43M - $1.69M,-$959 (-0.1 %)
"2700 Pine Tree Rd NE UNIT 3007, Atlanta, GA 30324",Sold 07/26/2019,"$290,000 ",3 bds,3.5 ba,"1,752 sqft",Condo,1999,1999,Heat pump,Central,,$502/month,,"$290,676 ","$267,000 - $317,000",-$170 (-0.1 %)
"1467 Monroe Dr NE APT 15, Atlanta, GA 30324",Sold 07/26/2019,"$394,000 ",3 bds,3.5 ba,"2,047 sqft",Condo,1987,1987,Forced air,Central,1 space,$325/month,,"$394,919 ","$363,000 - $430,000",-$230 (-0.1 %)
"3481 Lakeside Dr NE # 206, Atlanta, GA 30326",Sold 07/26/2019,"$457,500 ",3 bds,3 ba,"2,100 sqft",Condo,1990,1990,Forced air,Central,,$515/month,,"$458,567 ","$422,000 - $500,000",-$268 (-0.1 %)
"87 Adrian Pl NW, Atlanta, GA 30327",Sold 07/25/2019,"$330,000 ",3 bds,3 ba,"1,666 sqft",Condo,1970,1970,Forced air,Central,,$544/month,,"$330,783 ","$304,000 - $361,000",-$189 (-0.1 %)
"905 Juniper St NE, Atlanta, GA 30309",Sold 07/25/2019,"$975,000 ",3 bds,3 ba,"2,219 sqft",Condo,2006,2006,Forced air,Central,,$599/month,,"$977,314 ","$899,000 - $1.07M",-$558 (-0.1 %)
"3635 E Paces Cir UNIT 1113, Atlanta, GA 30326",Sold 07/25/2019,"$430,000 ",3 bds,3 ba,"1,600 sqft",Condo,2008,2008,,,,,,"$431,020 ","$397,000 - $470,000",-$247 (-0.1 %)
"335 Lakemoore Dr NE APT A, Atlanta, GA 30342",Sold 07/22/2019,"$210,000 ",3 bds,2.5 ba,"1,426 sqft",Condo,1952,1952,Forced air,Central,,,,"$272,465 ","$253,000 - $289,000","-$2,295 (-0.8 %)"
"1735 Peachtree St NE UNIT 514, Atlanta, GA 30309",Sold 07/15/2019,"$370,000 ",3 bds,2.5 ba,"1,890 sqft",Condo,2000,2000,Forced air,Central,2 spaces,$56/month,,"$371,027 ","$341,000 - $404,000",-$170 (-0.0 %)
"33 Howell Mill Plantation NW, Atlanta, GA 30327",Sold 07/15/2019,"$325,000 ",3 bds,3 ba,"1,700 sqft",Condo,1981,1981,Forced air,Central,,,,"$372,089 ","$350,000 - $398,000","+$3,801 (+1.0 %)"
"1301 Peachtree St NE, Atlanta, GA 30309",Sold 07/12/2019,$2.29M,3 bds,2 ba,"2,569 sqft",Condo,2017,2017,Other,,,,,"$2,301,650 ",$2.12M - $2.51M,-$974 (-0.0 %)
"3286 Northside Pkwy NW APT 603, Atlanta, GA 30327",Sold 07/11/2019,"$715,000 ",3 bds,3 ba,"2,400 sqft",Condo,2003,2003,Forced air,Central,,"$1,920/month",,"$717,100 ","$660,000 - $782,000",-$295 (-0.0 %)
"20 10th St NW UNIT 2003, Atlanta, GA 30309",Sold 07/09/2019,$1.10M,3 bds,3 ba,"2,835 sqft",Condo,2007,2007,Forced air,Central,2 spaces,"$1,587/month",,"$1,003,180 ","$923,000 - $1.09M",-$344 (-0.0 %)
"2872 Overlook Way, Atlanta, GA 30324",Sold 07/02/2019,"$473,000 ",3 bds,4 ba,"2,220 sqft",Condo,2007,2007,Forced air,Central,2 spaces,,,"$474,561 ","$437,000 - $517,000",-$146 (-0.0 %)
"175 15th St NE PENTHOUSE 4, Atlanta, GA 30309",Sold 07/01/2019,"$480,000 ",3 bds,2 ba,"1,560 sqft",Apartment,1989,1989,Forced air,Central,Attached Garage,,,,,
"2660 Peachtree Rd NW APT 9E, Atlanta, GA 30305",Sold 06/28/2019,"$433,333 ",3 bds,3 ba,"2,951 sqft",Condo,1987,1987,Forced air,Central,,"$1,233/month",,"$1,195,899 ","$993,000 - $1.34M","+$12,426 (+1.0 %)"
"70 Old Ivy Rd NE # 31, Atlanta, GA 30342",Sold 06/28/2019,"$367,000 ",3 bds,2.5 ba,"1,612 sqft",Condo,1969,2015,Forced air,Central,2 spaces,$425/month,"Energy Features:,Thermal Pane Wdws, Extra Insulation, Programmable Thermostat,Good solar potentialSun Number™: 68.21","$368,307 ","$339,000 - $401,000",-$67 (-0.0 %)
"3481 Lakeside Dr NE, Atlanta, GA 30326",Sold 06/28/2019,"$465,000 ",3 bds,3 ba,"2,100 sqft",Condo,1990,1990,Forced air,Central,,$515/month,,"$466,657 ","$429,000 - $509,000",-$84 (-0.0 %)
"70 Old Ivy Rd NE # 31, Atlanta, GA 30342",Sold 06/28/2019,"$367,000 ",3 bds,2.5 ba,"1,612 sqft",Condo,1969,2015,Forced air,Central,2 spaces,$425/month,"Energy Features:,Thermal Pane Wdws, Extra Insulation, Programmable Thermostat,Good solar potentialSun Number™: 68.21","$368,307 ","$339,000 - $401,000",-$67 (-0.0 %)
"401 16th St NW UNIT 1378, Atlanta, GA 30363",Sold 06/26/2019,"$290,000 ",3 bds,3 ba,"1,600 sqft",Multi Family,2004,2004,Forced air,Central,,,,"$291,076 ","$268,000 - $317,000",-$29 (-0.0 %)
"1820 Peachtree St NW UNIT 1708, Atlanta, GA 30309",Sold 06/21/2019,"$709,000 ",3 bds,3 ba,"1,709 sqft",Condo,2010,,,,2 spaces,$627/month,,"$711,894 ","$655,000 - $776,000",+$69 (+0.0 %)
"3530 Piedmont Rd NE APT 14L, Atlanta, GA 30305",Sold 06/21/2019,"$425,000 ",3 bds,4 ba,"2,557 sqft",Condo,1976,2012,,,2 spaces,"$1,064/month",,"$426,734 ","$393,000 - $465,000",+$41 (+0.0 %)
"3530 Piedmont Rd NE APT 14L, Atlanta, GA 30305",Sold 06/21/2019,"$425,000 ",3 bds,4 ba,"2,557 sqft",Condo,1976,2012,,,2 spaces,"$1,064/month",,"$426,734 ","$393,000 - $465,000",+$41 (+0.0 %)
