Address,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"7422 Broken Ridge Dr, Houston, TX 77095","$265,000 ",4 bds,3 ba,"2,832 sqft",,Single Family,1993,Other,Central,2 spaces,"6,534 sqft",,"$1,620 ",$968/mo,$506/mo,$93/mo,$54/mo
"6123 Branch Lake Dr, Houston, TX 77066","$142,500 ",4 bds,2 ba,"2,064 sqft","$140,081 ",Single Family,1998,Other,Central,1 space,0.38 acres,Good solar potentialSun Numberâ„¢:Â 62.44,$915 ,$544/mo,$272/mo,$50/mo,$50/mo
"2502 Friarwood Trl, Kingwood, TX 77339","$187,000 ",4 bds,2 ba,"1,540 sqft","$176,436 ",Single Family,1990,Other,Central,2 spaces,"7,092 sqft",Good solar potentialSun Numberâ„¢:Â 68.82,"$1,169 ",$713/mo,$357/mo,$65/mo,$33/mo
"300 Saint Joseph Pkwy APT 211, Houston, TX 77002","$299,900 ",2 bds,3 ba,"1,343 sqft","$287,903 ",Townhouse,2006,Other,Central,2 spaces,1.08 acres,Great solar potentialSun Numberâ„¢:Â 94.43,"$2,341 ","$1,096/mo",$572/mo,$105/mo,$568/mo
"2839 Sockeye Dr, Houston, TX 77045","$182,000 ",4 bds,2 ba,"1,639 sqft","$175,444 ",Single Family,2007,Other,Central,2 spaces,"5,061 sqft",Great solar potentialSun Numberâ„¢:Â 94.47,"$1,142 ",$694/mo,$347/mo,$64/mo,$37/mo
"410 Hummingbird Ln, Houston, TX 77060","$199,955 ",3 bds,3 ba,"1,732 sqft",,Single Family,1964,Other,Central,,"7,919 sqft",Great solar potentialSun Numberâ„¢:Â 77.67,"$1,214 ",$763/mo,$382/mo,$70/mo,$0/mo
"908 Oak Square Dr, Houston, TX","$279,900 ",3 bds,3 ba,"1,675 sqft","$270,354 ",Single Family,2018,"Electric, Gas",Central,Attached Garage,,,"$1,800 ","$1,022/mo",$534/mo,$98/mo,$145/mo
"13915 Cedar Point Dr, Houston, TX 77070","$309,900 ",5 bds,3 ba,"3,006 sqft","$302,881 ",Single Family,1977,Other,Central,2 spaces,"9,591 sqft",Great solar potentialSun Numberâ„¢:Â 70.44,"$1,884 ","$1,132/mo",$591/mo,$108/mo,$52/mo
"906 Oak Square Dr, Houston, TX","$279,900 ",3 bds,3 ba,"1,675 sqft","$270,570 ",Single Family,2018,"Electric, Gas",Central,Attached Garage,,,"$1,800 ","$1,022/mo",$534/mo,$98/mo,$145/mo
"Amesbury Plan, Kingwood-Royal Brook   Cambridge Collection","$388,990 ",5 bds,4 ba,"3,120 sqft","$375,814 ",Single Family,2019,,,3 spaces,,Good solar potentialSun Numberâ„¢:Â 60.07,"$2,299 ",,,,
"Travis Plan, Hidden Meadow - 50's","$194,490 ",3 bds,2 ba,"1,843 sqft","$191,402 ",Single Family,2019,,,3 spaces,,,"$1,181 ",,,,
"Woodland Estates (TX) Plan, Woodland Estates (TX)","$62,820 ",3 bds,2 ba,"1,152 sqft","$62,820 ",Single Family,2019,,,,,,$399 ,,,,
"8545 Cheswick Dr, Houston, TX 77037","$150,000 ",3 bds,2 ba,"1,224 sqft","$142,230 ",Single Family,1954,Other,Central,1 space,"8,698 sqft",Great solar potentialSun Numberâ„¢:Â 70.45,$911 ,$572/mo,$286/mo,$53/mo,$0/mo
"314 White Cedar St, Houston, TX 77015","$279,999 ",4 bds,5 ba,"2,741 sqft",,Single Family,1968,Other,Central,2 spaces,0.25 acres,Great solar potentialSun Numberâ„¢:Â 79.2,"$1,675 ","$1,023/mo",$534/mo,$98/mo,$20/mo
"6026 Spellman Rd, Houston, TX 77096","$349,888 ",3 bds,2 ba,"1,816 sqft","$333,226 ",Single Family,1965,Other,Central,2 spaces,"7,440 sqft",Great solar potentialSun Numberâ„¢:Â 78.47,"$2,096 ","$1,278/mo",$668/mo,$122/mo,$28/mo
"14140 Sweeney Rd, Houston, TX 77060","$275,000 ",3 bds,2 ba,"1,600 sqft","$257,370 ",Single Family,1960,Other,Central,5 spaces,2 acres,Good solar potentialSun Numberâ„¢:Â 64.07,"$1,626 ","$1,005/mo",$525/mo,$96/mo,$0/mo
"3907 Cornell Park Ct, Houston, TX 77058","$328,000 ",3 bds,2 ba,"2,048 sqft","$315,831 ",Single Family,1999,Other,Central,2 spaces,"7,733 sqft",Great solar potentialSun Numberâ„¢:Â 93.76,"$2,046 ","$1,198/mo",$626/mo,$115/mo,$107/mo
"15711 Pinewood Cove Dr, Houston, TX 77062","$439,000 ",4 bds,4 ba,"3,571 sqft","$424,538 ",Single Family,1986,Other,Central,3 spaces,0.28 acres,Great solar potentialSun Numberâ„¢:Â 94.46,"$2,655 ","$1,604/mo",$838/mo,$154/mo,$60/mo
"7209 La Salette St, Houston, TX 77021","$267,000 ",3 bds,2 ba,"1,572 sqft","$251,772 ",Single Family,1966,Other,Central,"Carport, Attached Garage","10,000 sqft",Great solar potentialSun Numberâ„¢:Â 89.67,"$1,578 ",$975/mo,$510/mo,$93/mo,$0/mo
"4803 Elser St, Houston, TX 77009","$349,000 ",2 bds,1 ba,"1,492 sqft","$332,380 ",Single Family,1950,Other,Central,1 space,"5,501 sqft",Great solar potentialSun Numberâ„¢:Â 88.85,"$2,063 ","$1,275/mo",$666/mo,$122/mo,$0/mo
"4802 Mcewen St, Houston, TX 77009","$699,000 ",2 bds,1 ba,"1,932 sqft","$666,105 ",Single Family,1940,Other,Central,1 space,0.25 acres,Limited solar potentialSun Numberâ„¢:Â 45.65,"$4,188 ","$2,609/mo","$1,334/mo",$245/mo,$0/mo
"954 W 42nd St, Houston, TX","$1,345,000 ",4 bds,4 ba,"4,360 sqft","$1,300,506 ",Single Family,1941,Other,Central,2 spaces,"8,820 sqft",Candidate for a community solar programSun Numberâ„¢:Â 22.45,"$8,083 ","$5,020/mo","$2,567/mo",$471/mo,$25/mo
"15851 Ridgecroft Rd, Houston, TX 77053","$99,000 ",4 bds,2 ba,"1,311 sqft","$96,104 ",Single Family,1995,Other,Central,1 space,"10,001 sqft",Great solar potentialSun Numberâ„¢:Â 90.47,$628 ,$405/mo,$189/mo,$35/mo,$0/mo
"728 Clark St, Houston, TX 77020","$385,000 ",3 bds,4 ba,"2,183 sqft","$370,562 ",Single Family,2018,Gas,Central,Attached Garage,"1,724 sqft",,"$2,351 ","$1,406/mo",$735/mo,$135/mo,$75/mo
"Leland Plan, Summerlyn At Spring Branch","$301,990 ",3 bds,2.5 ba,"1,831 sqft","$291,677 ",Single Family,2019,,,2 spaces,,,"$1,785 ",,,,
"1522 Grand Barrow Ln, Houston, TX","$197,457 ",3 bds,2 ba,"1,357 sqft","$190,875 ",Single Family,2019,Gas,Central,Attached Garage,"4,599 sqft",,"$1,229 ",$753/mo,$377/mo,$69/mo,$30/mo
"1036 Alexander St, Houston, TX 77008","$690,000 ",3 bds,3 ba,"2,528 sqft","$674,362 ",Single Family,2014,Other,Central,2 spaces,"3,001 sqft",Great solar potentialSun Numberâ„¢:Â 84.82,"$4,134 ","$2,576/mo","$1,317/mo",$242/mo,$0/mo
"520 Pecore St, Houston, TX 77009","$599,900 ",3 bds,3 ba,"1,822 sqft","$582,366 ",Single Family,1909,Other,Central,2 spaces,"6,250 sqft",Great solar potentialSun Numberâ„¢:Â 94.43,"$3,519 ","$2,164/mo","$1,145/mo",$210/mo,$0/mo
"2315 Mimosa Dr, Houston, TX 77019","$1,750,000 ",4 bds,6 ba,"4,700 sqft","$1,686,363 ",Single Family,2009,Other,Central,2 spaces,"5,000 sqft",Great solar potentialSun Numberâ„¢:Â 87.22,"$10,484 ","$6,532/mo","$3,340/mo",$613/mo,$0/mo
"6023 Matthew Oaks Pl, Houston, TX","$525,000 ",3 bds,4 ba,"2,369 sqft","$508,064 ",Townhouse,2019,Forced air,Central,2 spaces,"2,146 sqft",,"$3,103 ",,,,
"8934 Spurflower Path Ln, Houston, TX 77075","$195,000 ",3 bds,3 ba,"1,617 sqft","$189,320 ",Single Family,2012,Other,Central,2 spaces,"5,201 sqft",Good solar potentialSun Numberâ„¢:Â 68.06,"$1,215 ",$744/mo,$372/mo,$68/mo,$31/mo
"1010 Roxella St, Houston, TX 77076","$79,000 ",3 bds,1 ba,832 sqft,"$74,943 ",Single Family,1932,Other,None,,"10,711 sqft",Limited solar potentialSun Numberâ„¢:Â 58.45,$501 ,$323/mo,$151/mo,$28/mo,$0/mo
"14511 Red Mulberry Ln, Houston, TX 77044","$218,000 ",3 bds,2 ba,"2,132 sqft","$212,524 ",Single Family,2000,Other,Central,2 spaces,"7,043 sqft",,"$1,394 ",$832/mo,$416/mo,$76/mo,$70/mo
"Athens Plan, Armandwilde","$300,000 ",3 bds,3 ba,"2,317 sqft","$292,258 ",Single Family,2019,,,2 spaces,,Great solar potentialSun Numberâ„¢:Â 84.96,"$2,003 ",,,,
"Sabine Plan, Hidden Meadow - 40's","$182,490 ",3 bds,2 ba,"1,844 sqft","$178,583 ",Single Family,2019,,,2 spaces,,,"$1,108 ",,,,
"8636 Holly Oaks Creek Ln, Houston, TX","$442,125 ",3 bds,3 ba,"1,951 sqft","$430,806 ",Single Family,2019,,,2 spaces,,,"$2,614 ",,,,
"200 Carl St, Houston, TX","$425,000 ",3 bds,3 ba,"1,704 sqft","$411,086 ",Single Family,2019,Other,Central,"Carport, Attached Garage","5,000 sqft",Great solar potentialSun Numberâ„¢:Â 72.03,"$2,512 ","$1,552/mo",$811/mo,$149/mo,$0/mo
"510 W Drew St, Houston, TX 77006","$629,900 ",3 bds,4 ba,"3,255 sqft","$610,671 ",Townhouse,1998,Other,Central,1 space,"2,513 sqft",Great solar potentialSun Numberâ„¢:Â 88.03,"$3,774 ","$2,351/mo","$1,202/mo",$220/mo,$0/mo
"3023 Ashford Oak Dr, Houston, TX 77082","$199,990 ",3 bds,2 ba,"1,826 sqft","$190,471 ",Single Family,1977,Other,Central,2 spaces,"7,122 sqft",Good solar potentialSun Numberâ„¢:Â 69.65,"$1,260 ",$763/mo,$382/mo,$70/mo,$45/mo
"19802 Imperial Brook Dr, Houston, TX","$221,539 ",3 bds,2 ba,"1,931 sqft","$216,173 ",Single Family,2019,"Electric, Gas",Central,Attached Garage,,,"$1,378 ",$845/mo,$423/mo,$78/mo,$33/mo
"Plan 2936 Plan, Bridges on Lake Houston - Emerald","$409,990 ",4 bds,3 ba,"2,936 sqft","$396,390 ",Single Family,2019,,,3 spaces,,,"$2,424 ",,,,
"10403 Hoot Owl Rd, Houston, TX 77064","$225,000 ",4 bds,3 ba,"2,368 sqft",,Single Family,1986,Other,Central,2 spaces,"9,604 sqft",,"$1,407 ",$858/mo,$429/mo,$79/mo,$41/mo
"1332 W 21st St UNIT C, Houston, TX 77008","$539,900 ",3 bds,3 ba,"2,096 sqft","$530,571 ",Single Family,2004,Forced air,Central,2 spaces,"4,190 sqft",Great solar potentialSun Numberâ„¢:Â 88.85,"$3,191 ","$1,972/mo","$1,030/mo",$189/mo,$0/mo
"614 Nagle St, Houston, TX 77003","$415,000 ",3 bds,4 ba,"2,382 sqft","$403,630 ",Townhouse,2010,Other,Central,2 spaces,"1,537 sqft",Great solar potentialSun Numberâ„¢:Â 93.63,"$2,636 ","$1,516/mo",$792/mo,$145/mo,$183/mo
"15607 Carberry Hills Ct, Houston, TX 77044","$295,000 ",4 bds,3 ba,"3,065 sqft",,Single Family,2016,Other,Central,2 spaces,"7,492 sqft",Great solar potentialSun Numberâ„¢:Â 94.46,"$1,799 ","$1,078/mo",$563/mo,$103/mo,$55/mo
"1021 Roberts St, Houston, TX","$360,000 ",3 bds,4 ba,"2,018 sqft","$346,623 ",Single Family,2019,Gas,Central,Attached Garage,,,"$2,128 ","$1,315/mo",$687/mo,$126/mo,$0/mo
"The Haven (2204) Plan, Spring Brook Village - Patio Home Collection","$362,990 ",3 bds,3 ba,"2,204 sqft",,Single Family,2019,,,2 spaces,,,"$2,146 ",,,,
"Dowling Plan, Reserve on Moritz   Skyline Collection","$371,990 ",3 bds,3.5 ba,"2,163 sqft","$362,390 ",Townhouse,2019,,,2 spaces,,,"$2,199 ",,,,
"Magnolia Plan, Chapel Heights   Urban Villas Collection","$341,990 ",3 bds,2.5 ba,"1,627 sqft","$328,963 ",Single Family,2019,,,2 spaces,,,"$2,022 ",,,,
"The Quinn (S104) Plan, Spring Brook Village - Townhome Collection","$320,990 ",3 bds,3 ba,"1,942 sqft","$311,478 ",Single Family,2019,,,2 spaces,,,"$1,897 ",,,,
"Plan 2232 Plan, Bridges on Lake Houston 60s","$270,990 ",4 bds,3 ba,"2,232 sqft","$262,921 ",Single Family,2019,,,2 spaces,,,"$1,602 ",,,,
"Twilight Plan, Knoll Park   Skyline Collection","$330,990 ",2 bds,2.5 ba,"2,211 sqft","$318,793 ",Townhouse,2019,,,2 spaces,,,"$1,957 ",,,,
"Garner Plan, Towne Park","$183,990 ",3 bds,2 ba,"1,486 sqft","$181,398 ",Single Family,2019,,,2 spaces,,Great solar potentialSun Numberâ„¢:Â 79.22,"$1,117 ",,,,
"2424 Locke Ln, Houston, TX","$2,697,000 ",4 bds,6 ba,"5,492 sqft","$2,555,728 ",Single Family,2019,Other,Central,1 space,"6,599 sqft",Great solar potentialSun Numberâ„¢:Â 78.42,"$16,235 ","$10,067/mo","$5,147/mo",$944/mo,$77/mo
"801 Knox St, Houston, TX 77007","$388,000 ",3 bds,4 ba,"2,589 sqft","$377,396 ",Townhouse,2000,Other,Central,2 spaces,"1,916 sqft",Great solar potentialSun Numberâ„¢:Â 88.02,"$2,352 ","$1,417/mo",$740/mo,$136/mo,$58/mo
"2226 Saxon Dr, Houston, TX 77018","$499,900 ",3 bds,2 ba,"1,756 sqft","$490,507 ",Single Family,1952,Other,Central,2 spaces,"7,052 sqft",Great solar potentialSun Numberâ„¢:Â 94.45,"$2,955 ","$1,826/mo",$954/mo,$175/mo,$0/mo
"Ellsworth Plan, Reserve at Clear Lake City   Cambridge Collection","$451,990 ",5 bds,3.5 ba,"3,042 sqft","$434,061 ",Single Family,2019,,,3 spaces,,Limited solar potentialSun Numberâ„¢:Â 58.47,"$2,672 ",,,,
"Frio Plan, The Reserve at Clear Lake 50'","$499,646 ",4 bds,3 ba,"2,890 sqft","$478,860 ",Single Family,2019,,,2 spaces,,,"$2,954 ",,,,
"13031 Sweetgum Shores Dr, Houston, TX 77044","$229,000 ",4 bds,2 ba,"2,330 sqft","$222,288 ",Single Family,2008,Other,Central,2 spaces,"6,555 sqft",Great solar potentialSun Numberâ„¢:Â 83.26,"$1,461 ",$874/mo,$437/mo,$80/mo,$70/mo
"12010 Ryewater Dr, Houston, TX 77089","$153,000 ",3 bds,2 ba,"1,361 sqft","$146,045 ",Single Family,1976,Other,Central,2 spaces,"7,039 sqft",Great solar potentialSun Numberâ„¢:Â 93.66,$941 ,$584/mo,$292/mo,$54/mo,$12/mo
"2277 S Kirkwood Rd APT 808, Houston, TX 77077","$132,000 ",2 bds,2 ba,#NAME?,"$125,147 ",Townhouse,1983,Electric,Central,Attached Garage,,,"$1,097 ",$504/mo,$252/mo,$46/mo,$295/mo
"326 W 23rd St, Houston, TX 77008","$734,900 ",3 bds,3 ba,"1,896 sqft","$709,558 ",Single Family,1910,Forced air,Central,1 space,"9,827 sqft",Great solar potentialSun Numberâ„¢:Â 91.25,"$4,403 ","$2,743/mo","$1,402/mo",$257/mo,$0/mo
"5303 Champions Way Ln, Houston, TX 77066","$209,900 ",4 bds,3 ba,"2,522 sqft","$204,286 ",Single Family,2002,Other,Central,2 spaces,"5,187 sqft",Great solar potentialSun Numberâ„¢:Â 76.87,"$1,325 ",$801/mo,$401/mo,$73/mo,$50/mo
"12010 N Fairhollow Ln, Houston, TX 77043","$210,000 ",4 bds,2 ba,"1,604 sqft","$203,668 ",Single Family,1979,"Other, Stove",Central,2 spaces,"5,000 sqft",Great solar potentialSun Numberâ„¢:Â 72.06,"$1,320 ",$801/mo,$401/mo,$74/mo,$45/mo
"1361 - 3 Story Plan, Somerset Green","$693,990 ",3 bds,4 ba,"2,916 sqft","$669,724 ",Single Family,2019,,,2 spaces,,,"$4,158 ",,,,
"Plan 2080 Modeled Plan, Villas at Spring Shadows","$289,995 ",3 bds,2.5 ba,"2,080 sqft","$285,302 ",Single Family,2019,,,2 spaces,,,"$1,714 ",,,,
"6815 Hedgewick Dr, Houston, TX 77084","$219,900 ",4 bds,3 ba,"2,274 sqft","$212,497 ",Single Family,1993,Other,Central,2 spaces,"5,000 sqft",Great solar potentialSun Numberâ„¢:Â 76.86,"$1,369 ",$839/mo,$420/mo,$77/mo,$34/mo
"Vienna Plan, The Reserve at Clear Lake 70?","$594,900 ",4 bds,3.5 ba,"4,072 sqft","$572,718 ",Single Family,2019,,,3 spaces,,Limited solar potentialSun Numberâ„¢:Â 58.47,"$3,489 ",,,,
"1641 Prairie Grove Dr, Houston, TX 77077","$169,000 ",3 bds,3 ba,"1,664 sqft","$161,050 ",Townhouse,1977,Other,Central,2 spaces,"1,751 sqft",Great solar potentialSun Numberâ„¢:Â 73.65,"$1,326 ",$645/mo,$323/mo,$59/mo,$300/mo
"6714 Silver Shade Dr, Houston, TX 77064","$280,000 ",4 bds,4 ba,"3,582 sqft","$285,406 ",Single Family,2004,Other,Central,2 spaces,"7,801 sqft",Great solar potentialSun Numberâ„¢:Â 83.24,"$1,827 ","$1,023/mo",$534/mo,$98/mo,$172/mo
"1805 Cavanal St, Houston, TX 77080","$395,000 ",3 bds,3 ba,"2,251 sqft","$384,158 ",Single Family,2015,Other,Central,2 spaces,"2,513 sqft",,"$2,514 ","$1,443/mo",$754/mo,$138/mo,$179/mo
"14010 Norhill Pointe Dr, Houston, TX 77044","$399,620 ",4 bds,4 ba,"4,087 sqft",,Single Family,2005,Other,Central,4 spaces,"9,141 sqft",Great solar potentialSun Numberâ„¢:Â 80.86,"$2,541 ","$1,460/mo",$763/mo,$140/mo,$179/mo
"10615 Brentway Dr, Houston, TX 77070","$224,900 ",5 bds,3 ba,"2,642 sqft","$217,077 ",Single Family,1970,Other,Central,2 spaces,"9,600 sqft",,"$1,407 ",$858/mo,$429/mo,$79/mo,$41/mo
"608 E 40th St, Houston, TX 77022","$250,000 ",3 bds,3 ba,"1,698 sqft","$242,756 ",Single Family,2011,Other,Central,1 space,"5,998 sqft",Good solar potentialSun Numberâ„¢:Â 60.05,"$1,518 ",$954/mo,$477/mo,$88/mo,$0/mo
"2923 La Branch St, Houston, TX 77004","$312,000 ",2 bds,2 ba,"1,838 sqft","$301,423 ",Townhouse,1999,Other,Central,2 spaces,"1,837 sqft",Great solar potentialSun Numberâ„¢:Â 88.83,"$1,952 ","$1,140/mo",$595/mo,$109/mo,$108/mo
"324 Delz St, Houston, TX 77018","$250,000 ",3 bds,2 ba,"1,440 sqft","$233,387 ",Single Family,1940,Other,Central,1 space,"10,258 sqft",Limited solar potentialSun Numberâ„¢:Â 47.25,"$1,518 ",$954/mo,$477/mo,$88/mo,$0/mo
"6633 W Airport Blvd APT 1110, Houston, TX 77035","$53,000 ",2 bds,2 ba,"1,063 sqft","$49,406 ",Townhouse,1982,Other,Central,2 spaces,2.36 acres,Great solar potentialSun Numberâ„¢:Â 83.27,$696 ,$217/mo,$101/mo,$19/mo,$360/mo
"Biscayne Plan, The Reserve at Clear Lake 55'","$417,900 ",3 bds,2.5 ba,"2,470 sqft","$407,305 ",Single Family,2019,,,3 spaces,,,"$2,470 ",,,,
"6918 Apple Valley Ln, Houston, TX 77069","$274,000 ",4 bds,3.5 ba,"3,157 sqft","$268,995 ",Single Family,1983,Other,Central,2 spaces,"8,600 sqft",Great solar potentialSun Numberâ„¢:Â 74.44,"$1,663 ","$1,001/mo",$523/mo,$96/mo,$43/mo
"5626 Condon Ln, Houston, TX 77053","$159,999 ",3 bds,2 ba,"1,819 sqft","$157,323 ",Single Family,1978,Other,Central,2 spaces,"6,407 sqft",,"$1,026 ",$610/mo,$321/mo,$56/mo,$38/mo
"11138 Timbertree Ln, Houston, TX 77070","$231,000 ",4 bds,2 ba,"2,249 sqft","$222,301 ",Single Family,2000,Other,Central,2 spaces,"7,130 sqft",Great solar potentialSun Numberâ„¢:Â 73.64,"$1,436 ",$881/mo,$441/mo,$81/mo,$33/mo
"3635 Barkers Crossing Ave, Houston, TX 77084","$207,000 ",5 bds,3 ba,"2,460 sqft","$201,380 ",Single Family,2009,Other,Central,2 spaces,"4,726 sqft",Great solar potentialSun Numberâ„¢:Â 84.06,"$1,289 ",$790/mo,$395/mo,$72/mo,$32/mo
"4121 Driscoll St, Houston, TX 77098","$530,000 ",3 bds,4 ba,"2,040 sqft","$514,053 ",Single Family,2015,Other,Central,2 spaces,"1,981 sqft",Great solar potentialSun Numberâ„¢:Â 71.22,"$3,133 ","$1,936/mo","$1,011/mo",$186/mo,$0/mo
"4405 Goldfinch St, Houston, TX 77035","$415,000 ",3 bds,2 ba,"2,121 sqft",,Single Family,1960,Other,Central,2 spaces,"8,093 sqft",Great solar potentialSun Numberâ„¢:Â 94.47,"$2,453 ","$1,516/mo",$792/mo,$145/mo,$0/mo
"10835 Harvest Sun Dr, Houston, TX 77064","$225,000 ",4 bds,3 ba,"2,461 sqft","$218,033 ",Single Family,1988,Other,Central,1 space,"6,298 sqft",Great solar potentialSun Numberâ„¢:Â 71.24,"$1,404 ",$858/mo,$429/mo,$79/mo,$38/mo
"3007 Norhill Blvd, Houston, TX","$1,649,000 ",4 bds,4 ba,"3,912 sqft","$1,598,261 ",Single Family,2019,Heat pump,Central,5 spaces,"5,349 sqft",Great solar potentialSun Numberâ„¢:Â 94.43,"$9,879 ","$6,155/mo","$3,147/mo",$577/mo,$0/mo
"5506 August Hill Dr, Kingwood, TX 77345","$525,000 ",3 bds,4 ba,"3,216 sqft",,Single Family,2010,Other,Central,3 spaces,"10,018 sqft",Great solar potentialSun Numberâ„¢:Â 80.39,"$3,185 ","$1,918/mo","$1,002/mo",$184/mo,$82/mo
"7926 Claiborne St, Houston, TX 77078","$164,900 ",3 bds,2 ba,"1,818 sqft",,Single Family,1979,Other,Central,1 space,"6,298 sqft",Good solar potentialSun Numberâ„¢:Â 64.02,"$1,001 ",$629/mo,$315/mo,$58/mo,$0/mo
"12955 Abalone Way, Houston, TX 77044","$114,900 ",4 bds,3 ba,"3,806 sqft","$111,646 ",Single Family,1983,Other,Central,,"6,603 sqft",Great solar potentialSun Numberâ„¢:Â 75.22,$750 ,$469/mo,$219/mo,$40/mo,$21/mo
"12531 Blinnwood Ln, Houston, TX 77070","$184,900 ",3 bds,2 ba,"1,636 sqft","$180,718 ",Single Family,2005,Other,Central,2 spaces,"6,303 sqft",Great solar potentialSun Numberâ„¢:Â 76.04,"$1,160 ",$705/mo,$353/mo,$65/mo,$37/mo
"2909 Hicks St, Houston, TX","$507,078 ",3 bds,4 ba,"2,213 sqft","$493,504 ",Single Family,2019,Gas,Central,Attached Garage,"2,387 sqft",Great solar potentialSun Numberâ„¢:Â 92.83,"$3,163 ","$1,852/mo",$968/mo,$177/mo,$166/mo
"2825 Hicks St, Houston, TX","$505,072 ",3 bds,4 ba,"2,272 sqft","$491,966 ",Single Family,2019,Gas,Central,Attached Garage,"1,960 sqft",,"$3,152 ","$1,845/mo",$964/mo,$177/mo,$166/mo
"9406 Bob White Dr, Houston, TX 77096","$314,900 ",4 bds,3 ba,"2,290 sqft",,Single Family,1965,Other,Central,2 spaces,"8,398 sqft",Great solar potentialSun Numberâ„¢:Â 77.67,"$1,898 ","$1,150/mo",$601/mo,$110/mo,$37/mo
"5923 Beall St, Houston, TX","$210,000 ",3 bds,2 ba,"1,545 sqft","$204,508 ",Single Family,2019,Other,Central,,"10,001 sqft",Limited solar potentialSun Numberâ„¢:Â 56.85,"$1,275 ",$801/mo,$401/mo,$74/mo,$0/mo
"6426 Mobud Dr, Houston, TX 77074","$163,000 ",4 bds,2 ba,"1,995 sqft","$114,232 ",Single Family,1956,Other,Central,1 space,"7,034 sqft",Great solar potentialSun Numberâ„¢:Â 72.02,"$1,011 ",$622/mo,$311/mo,$57/mo,$21/mo
"2626 Skyview Crest Ct, Houston, TX 77047","$169,900 ",3 bds,2 ba,"1,413 sqft","$167,245 ",Single Family,2008,Other,Central,1 space,"4,547 sqft",Great solar potentialSun Numberâ„¢:Â 88.07,"$1,061 ",$648/mo,$324/mo,$59/mo,$29/mo
"3005 45th St NW, Washington, DC 20016","$14,900,000 ",8 bds,13 ba,"15,100 sqft","$14,173,170 ",Single Family,1927,Forced air,Central,Attached Garage,0.5 acres,Great solar potentialSun Numberâ„¢:Â 87.24,"$68,311 ","$56,018/mo","$7,078/mo","$5,215/mo",$0/mo
"3036 Woodland Dr NW, Washington, DC 20008","$12,000,000 ",8 bds,11 ba,"10,823 sqft","$11,414,633 ",Single Family,2000,Forced air,Central,Attached Garage,0.5 acres,Great solar potentialSun Numberâ„¢:Â 85.72,"$55,015 ","$45,115/mo","$5,700/mo","$4,200/mo",$0/mo
"2409 Wyoming Ave NW, Washington, DC 20008","$6,990,000 ",8 bds,11 ba,"8,783 sqft","$6,729,494 ",Single Family,1926,Forced air,Central,3 spaces,"9,561 sqft",Great solar potentialSun Numberâ„¢:Â 84.92,"$32,046 ","$26,280/mo","$3,320/mo","$2,447/mo",$0/mo
"742 Princeton Pl NW, Washington, DC 20010","$100,000 ",4 bds,3 ba,"2,240 sqft",,Townhouse,1923,Other,None,,"2,130 sqft",Candidate for a community solar programSun Numberâ„¢:Â 21.2,$470 ,$388/mo,$48/mo,$35/mo,$0/mo
"3303 Dent Pl NW, Washington, DC 20007","$895,000 ",2 bds,4 ba,"1,320 sqft","$895,007 ",Townhouse,1926,Forced air,Central,,"1,306 sqft",Limited solar potentialSun Numberâ„¢:Â 52.68,"$4,012 ","$3,273/mo",$425/mo,$313/mo,$0/mo
"52 Quincy Pl NW APT 103, Washington, DC 20001","$414,000 ",2 bds,1 ba,670 sqft,"$425,869 ",Single Family,1912,"Forced air, Other",Central,,236 sqft,Good solar potentialSun Numberâ„¢:Â 60.84,"$2,142 ","$1,508/mo",$197/mo,$145/mo,$292/mo
"3326 Prospect St NW, Washington, DC 20007","$1,995,000 ",4 bds,4 ba,"2,070 sqft","$1,964,307 ",Townhouse,1900,Forced air,Central,,"1,263 sqft",Great solar potentialSun Numberâ„¢:Â 88.68,"$9,146 ","$7,500/mo",$948/mo,$698/mo,$0/mo
"1515 3rd St NW, Washington, DC 20001","$100,000 ",6 bds,6 ba,"2,042 sqft",,Townhouse,1906,Wall,None,,"1,415 sqft",Great solar potentialSun Numberâ„¢:Â 84.84,$846 ,$388/mo,$48/mo,$35/mo,$376/mo
"2509 Foxhall Rd NW, Washington, DC 20007","$16,000,000 ",7 bds,10 ba,"7,239 sqft",,Single Family,2010,Forced air,Central,4 spaces,0.75 acres,Limited solar potentialSun Numberâ„¢:Â 57.48,"$73,354 ","$60,154/mo","$7,600/mo","$5,600/mo",$0/mo
"1315 31st St NW, Washington, DC 20007","$7,250,000 ",6 bds,8 ba,"7,750 sqft","$6,926,751 ",Single Family,1907,Forced air,Central,2 spaces,"3,659 sqft",Great solar potentialSun Numberâ„¢:Â 84.68,"$33,238 ","$27,257/mo","$3,444/mo","$2,538/mo",$0/mo
"1775 Church St NW # 2, Washington, DC","$399,990 ",1 bd,1 ba,581 sqft,"$399,992 ",Townhouse,2018,Forced air,Central,,"1,742 sqft",,"$1,952 ","$1,457/mo",$190/mo,$140/mo,$165/mo
"1813 19th St NW APT D, Washington, DC 20009","$539,990 ",2 bds,2 ba,787 sqft,"$550,390 ",Single Family,1885,Heat pump,Central,On street,435 sqft,Great solar potentialSun Numberâ„¢:Â 71.24,"$2,702 ","$1,967/mo",$256/mo,$189/mo,$289/mo
