Address,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,HOA / Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"935 Fairburn Rd NW, Atlanta, GA 30331",Sold 10/18/2019,"$58,900 ",3 bds,1 ba,"1,000 sqft",Single Family,1961,1961,Forced air,Central,,"8,450 sqft",,,,
"120 Terrace Dr NE, Atlanta, GA 30305",Sold 10/17/2019,"$640,000 ",3 bds,2 ba,"1,762 sqft",Single Family,1924,1990,Forced air,Central,,"10,319 sqft",,"$640,469 ","$596,000 - $685,000",+$909 (+0.1 %)
"1854 Greystone Rd NW, Atlanta, GA 30318",Sold 10/17/2019,"$612,500 ",3 bds,2 ba,"1,423 sqft",Single Family,1940,1960,"Forced air, Other",Central,,0.32 acres,,"$612,949 ","$570,000 - $656,000","+$13,242 (+2.2 %)"
"916 Dean Dr NW, Atlanta, GA 30318",Sold 10/17/2019,"$740,000 ",3 bds,2 ba,"2,390 sqft",Single Family,1951,1990,Gas,Central,,0.44 acres,,"$740,542 ","$689,000 - $792,000","-$3,007 (-0.4 %)"
"1916 Main St NW, Atlanta, GA 30318",Sold 10/17/2019,"$250,000 ",3 bds,2 ba,990 sqft,Single Family,1957,1990,Forced air,Other,4 spaces,"8,502 sqft",,"$250,183 ","$233,000 - $268,000","-$6,168 (-2.4 %)"
"1538 Walthall Ct NW, Atlanta, GA 30318",Sold 10/17/2019,"$794,000 ",3 bds,3 ba,"2,750 sqft",Single Family,1960,2011,Forced air,Central,Attached Garage,0.31 acres,Great solar potentialSun Number™: 92.21,"$794,582 ","$739,000 - $850,000","+$7,489 (+1.0 %)"
"1393 Liberty Pkwy NW, Atlanta, GA 30318",Sold 10/16/2019,"$277,500 ",3 bds,4 ba,"1,326 sqft",Townhouse,2006,2006,Forced air,Central,1 space,609 sqft,,"$277,708 ","$258,000 - $300,000","+$2,408 (+0.9 %)"
"1169 Liberty Pkwy NW, Atlanta, GA 30318",Sold 10/16/2019,"$260,000 ",3 bds,4 ba,"1,432 sqft",Townhouse,2005,,Forced air,Central,1 space,653 sqft,,"$263,207 ","$245,000 - $284,000","+$1,173 (+0.4 %)"
"1169 Liberty Pkwy NW # 1169, Atlanta, GA 30318",Sold 10/16/2019,"$260,000 ",3 bds,4 ba,"1,432 sqft",Townhouse,2005,,,,2 spaces,653 sqft,,"$260,195 ","$242,000 - $281,000",-$935 (-0.4 %)
"37 Old Ivy Sq NE # 37, Atlanta, GA 30342",Sold 10/16/2019,"$370,000 ",3 bds,3 ba,"1,612 sqft",Townhouse,1969,1969,"Forced air, Heat pump","Central, Other",2 spaces,"1,611 sqft",,"$370,277 ","$344,000 - $400,000","-$6,366 (-1.7 %)"
"2783 Oldknow Dr NW, Atlanta, GA 30318",Sold 10/16/2019,"$135,500 ",3 bds,2 ba,"1,280 sqft",Single Family,1958,2018,Forced air,Central,8 spaces,0.44 acres,Candidate for a community solar programSun Number™: 20.22,"$135,601 ","$126,000 - $146,000","-$27,710 (-17.0 %)"
"85 East Andrews, Atlanta, GA 30305",Sold 10/15/2019,$1.55M,3 bds,4 ba,"3,760 sqft",Townhouse,,,,,,,,"$1,551,192 ",$1.44M - $1.68M,"+$91,255 (+6.3 %)"
"2597 Church St NW, Atlanta, GA 30318",Sold 10/15/2019,"$275,000 ",3 bds,2 ba,"1,177 sqft",Single Family,2007,1970,Forced air,Central,4 spaces,"9,060 sqft",,"$275,211 ","$256,000 - $297,000","+$2,645 (+1.0 %)"
"85 E Andrews Dr NW, Atlanta, GA 30305",Sold 10/15/2019,$1.55M,3 bds,4 ba,"4,000 sqft",Townhouse,2016,2016,Forced air,Central,Attached Garage,"1,481 sqft",,"$1,551,192 ",$1.44M - $1.68M,"-$125,438 (-7.5 %)"
"1312 Lenox Cir NE, Atlanta, GA 30306",Sold 10/15/2019,"$475,000 ",3 bds,2 ba,"2,576 sqft",Single Family,1954,1954,,Central,Carport,"3,001 sqft",,"$442,053 ","$420,000 - $464,000","-$52,300 (-10.6 %)"
"4545 Wieuca Rd NE APT 22, Atlanta, GA 30342",Sold 10/15/2019,"$315,000 ",3 bds,3 ba,"1,944 sqft",Townhouse,1972,1972,Heat pump,Central,2 spaces,"1,942 sqft",,"$315,242 ","$293,000 - $340,000","-$3,068 (-1.0 %)"
"700 Darlington Cir NE, Atlanta, GA 30305",Sold 10/15/2019,"$575,000 ",3 bds,2 ba,"1,958 sqft",Single Family,1950,1950,Forced air,Central,1 space,0.33 acres,Candidate for a community solar programSun Number™: 20.21,"$575,442 ","$535,000 - $621,000","-$2,848 (-0.5 %)"
"3129 E Wood Valley Rd NW, Atlanta, GA 30327",Sold 10/15/2019,"$585,000 ",3 bds,2 ba,"2,075 sqft",Single Family,1954,1985,Forced air,Central,4 spaces,0.51 acres,,"$631,379 ","$600,000 - $663,000","+$1,486 (+0.2 %)"
"629 Boulevard Ne, Atlanta, GA 30308",Sold 10/15/2019,"$838,000 ",3 bds,4 ba,"3,081 sqft",Single Family,2008,2008,Forced air,Central,3 spaces,"4,399 sqft",,"$838,644 ","$780,000 - $906,000","+$6,578 (+0.8 %)"
"2545 Forrest Ave NW, Atlanta, GA 30318",Sold 10/11/2019,"$329,000 ",3 bds,2 ba,"1,400 sqft",Single Family,1916,1916,Other,Central,4 spaces,0.34 acres,,"$329,276 ","$306,000 - $356,000",-$388 (-0.1 %)
"1100 Canter Rd NE, Atlanta, GA 30324",Sold 10/11/2019,"$475,000 ",3 bds,2 ba,"1,463 sqft",Single Family,1952,1952,"Forced air, Heat pump",Central,Carport,0.6 acres,,"$475,399 ","$442,000 - $513,000","+$2,291 (+0.5 %)"
"3740 Powers Ferry Rd NW, Atlanta, GA 30342",Sold 10/11/2019,"$418,500 ",3 bds,1 ba,"1,460 sqft",Single Family,1954,1970,Forced air,Central,2 spaces,0.55 acres,,"$418,852 ","$390,000 - $452,000","-$9,238 (-2.2 %)"
"2390 Clarissa Dr NW, Atlanta, GA 30318",Sold 10/11/2019,"$79,000 ",3 bds,1 ba,864 sqft,Single Family,1960,1970,Forced air,Central,,"10,802 sqft",,"$79,066 ","$74,000 - $85,000","-$3,694 (-4.5 %)"
"2166 Colvin Ct NW # 14, Atlanta, GA 30318",Sold 10/10/2019,"$350,150 ",3 bds,4 ba,"2,153 sqft",Townhouse,2018,2018,Heat pump,Central,,,,"$369,742 ","$344,000 - $399,000",+$126 (+0.0 %)
"2074 Telfair Cir NE # 108, Atlanta, GA 30324",Sold 10/10/2019,"$745,870 ",3 bds,3 ba,#NAME?,Townhouse,2018,2018,Forced air,Central,,,,"$746,511 ","$694,000 - $806,000","+$27,561 (+3.8 %)"
"1920 Red Eagle Walk, Atlanta, GA 30318",Sold 10/09/2019,"$609,900 ",3 bds,4 ba,"2,869 sqft",Single Family,2019,,Gas,Central,,"2,614 sqft",,"$610,435 ","$568,000 - $659,000","+$24,529 (+4.2 %)"
"1121 Park Overlook Dr NE, Atlanta, GA 30324",Sold 10/09/2019,"$720,000 ",3 bds,4.5 ba,"3,642 sqft",Single Family,2002,2002,Forced air,Central,2 spaces,"2,827 sqft",,"$720,631 ","$670,000 - $778,000","-$23,686 (-3.2 %)"
"818 Bolton Rd NW, Atlanta, GA 30331",Sold 10/08/2019,"$1,000 ",3 bds,1 ba,"1,000 sqft",Single Family,1960,1985,Other,Central,,"10,158 sqft",,"$86,748 ","$63,000 - $129,000","-$3,936 (-4.3 %)"
"737 Alfred Rd NW, Atlanta, GA 30331",Sold 10/08/2019,"$103,000 ",3 bds,1 ba,892 sqft,Single Family,1958,1958,Stove,Central,,0.35 acres,,"$98,583 ","$86,000 - $135,000","-$3,684 (-3.6 %)"
"838 Vedado Way NE, Atlanta, GA 30308",Sold 10/08/2019,"$768,000 ",3 bds,3 ba,"2,594 sqft",Single Family,1925,1965,Forced air,Central,2 spaces,"6,098 sqft",,"$768,687 ","$715,000 - $830,000",+$49 (+0.0 %)
"720 Hillpine Dr NE, Atlanta, GA 30306",Sold 10/08/2019,$1.79M,3 bds,2 ba,"1,860 sqft",Single Family,1946,1970,Forced air,Central,,,,"$1,796,607 ",$1.67M - $1.94M,"+$605,500 (+50.8 %)"
"2708 Crescendo Dr NW, Atlanta, GA 30318",Sold 10/08/2019,"$200,000 ",3 bds,2 ba,"1,882 sqft",Single Family,1963,1963,Forced air,Central,1 space,0.26 acres,,"$200,179 ","$186,000 - $216,000","+$3,119 (+1.6 %)"
"278 Goodson Way NW, Atlanta, GA 30309",Sold 10/04/2019,"$449,900 ",3 bds,3 ba,"1,457 sqft",Townhouse,2011,,Forced air,Central,1 space,435 sqft,,"$448,540 ","$426,000 - $471,000","+$1,500 (+0.3 %)"
"47 28th St NW, Atlanta, GA 30309",Sold 10/04/2019,$1.44M,3 bds,4 ba,"3,551 sqft",Single Family,1925,,,,1 space,0.33 acres,,"$1,436,388 ",$1.34M - $1.55M,"-$54,733 (-3.7 %)"
"47 8th St NE, Atlanta, GA 30309",Sold 10/04/2019,$1.44M,3 bds,3.5 ba,"3,828 sqft",Single Family,1925,1980,Forced air,Central,Detached Garage,0.33 acres,,"$1,436,388 ",$1.34M - $1.55M,"+$6,320 (+0.4 %)"
"3537 Fairburn Pl NW, Atlanta, GA 30331",Sold 10/04/2019,"$211,000 ",3 bds,2 ba,"1,484 sqft",Single Family,1963,1963,Forced air,Other,2 spaces,0.31 acres,,"$211,204 ","$196,000 - $228,000","+$61,355 (+40.9 %)"
"1207 Virginia Park Dr NE, Atlanta, GA 30306",Sold 10/04/2019,"$630,000 ",3 bds,4 ba,"2,400 sqft",Townhouse,2015,,,,,818 sqft,,"$630,604 ","$599,000 - $662,000","+$7,801 (+1.3 %)"
"1276 Lullwater Park Cir, Atlanta, GA 30306",Sold 10/03/2019,"$541,000 ",3 bds,4 ba,"2,672 sqft",Townhouse,2011,,Forced air,Central,Attached Garage,871 sqft,,"$541,526 ","$514,000 - $569,000","-$3,699 (-0.7 %)"
"2135 Abner Pl NW, Atlanta, GA 30318",Sold 10/03/2019,"$20,000 ",3 bds,1 ba,792 sqft,Single Family,1960,1960,Other,Central,,"9,169 sqft",,"$83,686 ","$59,000 - $117,000","-$12,543 (-13.0 %)"
"841 N Grand Ave NW, Atlanta, GA 30318",Sold 10/03/2019,"$85,000 ",3 bds,1 ba,889 sqft,Single Family,1945,1945,None,Other,,"7,492 sqft",,"$85,083 ","$79,000 - $92,000","+$1,747 (+2.1 %)"
"841 N Grand Ave NW, Atlanta, GA 30318",Sold 10/03/2019,"$85,000 ",3 bds,1 ba,889 sqft,Single Family,1945,1945,None,Other,,"7,492 sqft",,"$85,083 ","$79,000 - $92,000","+$1,747 (+2.1 %)"
"2231 Parkview Ct NW, Atlanta, GA 30318",Sold 10/02/2019,"$380,000 ",3 bds,3 ba,"2,152 sqft",Single Family,2005,2005,Forced air,Central,4 spaces,"4,791 sqft",,"$380,381 ","$354,000 - $411,000","-$4,027 (-1.0 %)"
"800 Hall St NW, Atlanta, GA 30318",Sold 10/02/2019,"$147,000 ",3 bds,1 ba,"1,280 sqft",Single Family,1930,,Forced air,None,Detached Garage,"9,234 sqft",,"$165,452 ","$127,000 - $204,000","+$10,028 (+6.5 %)"
"1017 Northcliffe Dr NW, Atlanta, GA 30318",Sold 10/02/2019,"$550,000 ",3 bds,1.5 ba,"1,975 sqft",Single Family,1950,1980,Forced air,Central,,0.68 acres,,"$550,552 ","$512,000 - $595,000","-$74,399 (-11.9 %)"
"1990 Lenox Rd NE, Atlanta, GA 30306",Sold 10/02/2019,"$515,000 ",3 bds,2 ba,"1,987 sqft",Single Family,1952,,Forced air,Central,2 spaces,0.59 acres,,"$515,516 ","$479,000 - $557,000","-$13,811 (-2.6 %)"
"812 Virginia Park Circle, Atlanta, GA 30306",Sold 10/02/2019,"$639,900 ",3 bds,4 ba,"2,400 sqft",Townhouse,2016,2016,Heat pump,Central,,827 sqft,,"$640,532 ","$609,000 - $673,000","-$2,294 (-0.4 %)"
"1153 Liberty Pkwy NW, Atlanta, GA 30318",Sold 10/02/2019,"$273,000 ",3 bds,4 ba,"1,326 sqft",Townhouse,2005,2005,Forced air,Central,1 space,653 sqft,,"$273,274 ","$254,000 - $295,000","+$3,242 (+1.2 %)"
"512 Rock Springs Rd NE, Atlanta, GA 30324",Sold 10/01/2019,"$525,000 ",3 bds,2.5 ba,"1,693 sqft",Single Family,1948,1980,Forced air,Central,,0.29 acres,,"$525,536 ","$489,000 - $568,000","-$29,387 (-5.3 %)"
"2774 Andrews Dr NW APT 15, Atlanta, GA 30305",Sold 10/01/2019,$1.47M,3 bds,3.5 ba,"3,192 sqft",Townhouse,1968,,Forced air,Central,,"3,193 sqft",,"$1,475,062 ",$1.37M - $1.59M,"+$95,534 (+6.9 %)"
"986 Wadsworth Dr NW, Atlanta, GA 30318",Sold 10/01/2019,$1.43M,3 bds,2 ba,"2,483 sqft",Single Family,1951,1951,Other,,,0.29 acres,,"$1,426,456 ",$1.33M - $1.54M,"+$268,901 (+23.2 %)"
"796 Piedmont Ave NE # B, Atlanta, GA 30308",Sold 10/01/2019,"$500,000 ",3 bds,4 ba,"1,406 sqft",Townhouse,1988,,,,,"1,245 sqft",,"$500,510 ","$465,000 - $541,000","-$4,327 (-0.9 %)"
"2015 Jones Rd NW, Atlanta, GA 30318",Sold 10/01/2019,"$146,228 ",3 bds,2.5 ba,"1,100 sqft",Single Family,1960,1960,Forced air,Central,,"9,100 sqft",,"$142,346 ","$124,000 - $161,000","-$2,286 (-1.6 %)"
"1219 Defoor Ct NW # 4C, Atlanta, GA 30318",Sold 10/01/2019,"$298,000 ",3 bds,3 ba,"1,715 sqft",Townhouse,1982,,Forced air,Central,2 spaces,"1,698 sqft",,"$298,304 ","$277,000 - $322,000",
"1315 Battleview Dr NW, Atlanta, GA 30327",,"$699,000 ",3 bds,2 ba,"2,357 sqft",Single Family,1959,2000,Forced air,Central,,0.42 acres,,"$699,714 ","$651,000 - $756,000","+$9,964 (+1.4 %)"
"811 Virginia Park Cir NE, Atlanta, GA 30306",Sold 09/30/2019,"$625,000 ",3 bds,3.5 ba,"2,400 sqft",Single Family,2016,2016,Heat pump,,2 spaces,827 sqft,,"$625,625 ","$594,000 - $657,000","+$8,934 (+1.4 %)"
"814 Highland Ter NE, Atlanta, GA 30306",Sold 09/30/2019,"$727,000 ",3 bds,3 ba,"1,725 sqft",Single Family,1940,1975,Forced air,Central,2 spaces,"8,276 sqft",,"$727,753 ","$677,000 - $786,000","-$4,163 (-0.6 %)"
"2632 Church St NW, Atlanta, GA 30318",Sold 09/30/2019,"$256,900 ",3 bds,2 ba,"1,271 sqft",Single Family,2000,2000,Forced air,Central,,0.31 acres,,"$257,166 ","$239,000 - $278,000","-$3,097 (-1.2 %)"
"102 Maddox Dr NE, Atlanta, GA 30309",Sold 09/30/2019,$1.13M,3 bds,2.5 ba,"2,579 sqft",Single Family,1920,2015,Forced air,Central,,0.26 acres,,"$1,128,667 ",$1.05M - $1.22M,"+$3,199 (+0.3 %)"
"98 Maddox Dr NE, Atlanta, GA 30309",Sold 09/30/2019,$1.12M,3 bds,2.5 ba,"2,316 sqft",Single Family,1920,1990,Forced air,Central,,"9,583 sqft",,"$1,126,165 ",$1.05M - $1.22M,"-$5,360 (-0.5 %)"
"683 Cresthill Ave NE, Atlanta, GA 30306",Sold 09/30/2019,"$900,000 ",3 bds,2 ba,"2,134 sqft",Single Family,1930,2010,Forced air,Central,,1 acre,,"$779,801 ","$725,000 - $858,000","+$7,049 (+0.9 %)"
"973 Wildwood Rd NE, Atlanta, GA 30306",Sold 09/30/2019,$1.07M,3 bds,4 ba,"4,256 sqft",Single Family,1986,1990,Forced air,Central,3 spaces,0.44 acres,,"$1,076,113 ",$1.00M - $1.16M,"-$25,620 (-2.3 %)"
"960 Virginia Ave NE, Atlanta, GA 30306",Sold 09/30/2019,"$700,000 ",3 bds,2 ba,"2,038 sqft",Single Family,1930,1980,Other,Central,2 spaces,"8,363 sqft",,"$700,725 ","$652,000 - $757,000","-$22,803 (-3.2 %)"
"726 Alfred Rd NW, Atlanta, GA 30331",Sold 09/30/2019,"$80,000 ",3 bds,2 ba,825 sqft,Single Family,1958,,Forced air,Other,Carport,"9,099 sqft",,"$88,144 ","$67,000 - $110,000",-$479 (-0.5 %)
"1823 Woodland Hills Ave NW, Atlanta, GA 30318",Sold 09/30/2019,"$350,000 ",3 bds,1 ba,"1,229 sqft",Single Family,1930,1975,Forced air,Central,,0.27 acres,,"$350,362 ","$326,000 - $378,000","-$60,506 (-14.7 %)"
"291 Goodson Way NW, Atlanta, GA 30309",3D Homes Icon3D Home,"$450,000 ",3 bds,3 ba,"1,862 sqft",Townhouse,2012,2012,Forced air,Central,3 spaces,871 sqft,Great solar potentialSun Number™: 88.21,"$450,466 ","$419,000 - $487,000","+$4,892 (+1.1 %)"
"3663 Croft Pl NW, Atlanta, GA 30331",Sold 09/30/2019,"$115,000 ",3 bds,1 ba,"1,025 sqft",Single Family,1959,1959,Forced air,Central,,"9,147 sqft",,"$115,119 ","$107,000 - $124,000","-$4,865 (-4.1 %)"
"818 Glendale Ter NE, Atlanta, GA 30308",Sold 09/30/2019,"$650,000 ",3 bds,2 ba,"1,399 sqft",Single Family,1928,1989,Forced air,Central,3 spaces,"8,102 sqft",,"$620,806 ","$559,000 - $683,000","+$5,660 (+0.9 %)"
