Title,Title_link,list-card-price,list-card-type,Field2,Field1,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"2148 Browning St NE, Atlanta, GA",https://www.zillow.com/homedetails/2148-Browning-St-NE-Atlanta-GA-30317/2082805428_zpid/,"$799,000",New construction,4 ba,5 bds,"3,000 sqft","$775,181",Single Family,2019,No Data,No Data,No Data,"10,715 sqft",$266,"$4,065"
"640 Glen Iris Dr NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/640-Glen-Iris-Dr-NE-Atlanta-GA-30308/82610632_zpid/,"$325,000",Condo for sale,1 ba,1 bd,914 sqft,"$319,758",Condo,2001,Forced air,Central,1 space,"$3,792/month",$356,"$5,388"
"453 Kendrick Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/453-Kendrick-Ave-SE-Atlanta-GA-30315/35877193_zpid/,"$379,900",House for sale,2 ba,2 bds,"1,008 sqft","$372,182",Single Family,1940,Other,Central,No Data,"6,490 sqft",$377,"$1,866"
"301 Orleans St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/301-Orleans-St-SE-Atlanta-GA-30312/65441481_zpid/,"$519,000",House for sale,2 ba,3 bds,"2,020 sqft","$508,412",Single Family,1990,Forced air,Central,"Off street, On street","6,185 sqft",$257,"$2,549"
"1794 Flat Shoals Rd SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1794-Flat-Shoals-Rd-SE-Atlanta-GA-30316/14447128_zpid/,"$179,900",House for sale,1 ba,3 bds,967 sqft,"$172,178",Single Family,1940,Forced air,Central,2 spaces,0.3 acres,$186,$932
"565 Rankin St NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/565-Rankin-St-NE-Atlanta-GA-30308/35879385_zpid/,"Est. $470,104",Pre-foreclosure / Auction,3.5 ba,3 bds,"1,856 sqft","$470,104",Single Family,1994,Forced air,Central,2 spaces,"3,311 sqft",,"$2,376"
"E402 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2085929961_zpid/,"$599,900+",New construction,2 ba,1 bd,"1,231 sqft","$582,941",Condo,2019,No Data,No Data,2 spaces,No Data,$487,"$2,948"
"920 Memorial Dr SE UNIT 25, Atlanta, GA 30316",https://www.zillow.com/homedetails/920-Memorial-Dr-SE-UNIT-25-Atlanta-GA-30316/71755476_zpid/,$--,Pre-foreclosure / Auction,2 ba,2 bds,"2,000 sqft",,Condo,2004,Forced air,Central,No Data,No Data,,$0
"19 Daniel St SE, Atlanta, GA",https://www.zillow.com/homedetails/19-Daniel-St-SE-Atlanta-GA-30312/2082824462_zpid/,"$579,900",New construction,3 ba,3 bds,"1,590 sqft","$570,563",Single Family,2019,No Data,No Data,No Data,"1,999 sqft",$365,"$2,850"
"1060 Hilburn Dr SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1060-Hilburn-Dr-SE-Atlanta-GA-30316/14447061_zpid/,"Est. $302,111",Pre-foreclosure / Auction,3 ba,5 bds,"2,234 sqft","$302,111",Single Family,1964,Forced air,Central,Attached Garage,0.3 acres,,"$1,494"
"702 Argonne Ave NE APT 2, Atlanta, GA 30308",https://www.zillow.com/homedetails/702-Argonne-Ave-NE-APT-2-Atlanta-GA-30308/2082832164_zpid/,"$187,000",Condo for sale,1 ba,2 bds,667 sqft,"$178,371",Condo,1965,No Data,No Data,No Data,$330/month,$280,"$1,293"
"1280 Dahlgren Ln SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1280-Dahlgren-Ln-SE-Atlanta-GA-30316/2082833197_zpid/,"$365,000",Townhouse for sale,4 ba,3 bds,"2,004 sqft","$355,527",Townhouse,2018,No Data,No Data,No Data,No Data,$182,"$1,805"
"1282 Dahlgren Ln SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1282-Dahlgren-Ln-SE-Atlanta-GA-30316/2087251758_zpid/,"$365,000",Townhouse for sale,4 ba,3 bds,"2,004 sqft","$355,292",Townhouse,2018,Other,Other,No Data,No Data,$182,"$1,815"
"1453 Chipley St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1453-Chipley-St-NE-Atlanta-GA-30307/14468051_zpid/,"$374,900",House for sale,3 ba,3 bds,"1,440 sqft","$370,195",Single Family,2000,Forced air,Central,No Data,"4,356 sqft",$260,"$1,854"
"486 Sydney St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/486-Sydney-St-SE-Atlanta-GA-30312/35878113_zpid/,"$975,000",House for sale,4 ba,4 bds,"2,938 sqft",,Single Family,1890,Forced air,Central,4 spaces,"10,018 sqft",$332,"$4,928"
"1094 Alta Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1094-Alta-Ave-NE-Atlanta-GA-30307/35843046_zpid/,"$1,120,000",House for sale,3 ba,5 bds,"3,532 sqft","$1,069,358",Single Family,1920,Forced air,Central,2 spaces,"7,492 sqft",$317,"$5,661"
"923 Springdale Rd NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/923-Springdale-Rd-NE-Atlanta-GA-30306/14479330_zpid/,"$2,599,000",House for sale,6 ba,6 bds,"5,012 sqft",,Single Family,1916,Forced air,Central,1 space,1.3 acres,$519,"$13,222"
"818 Mentelle Dr NE # B, Atlanta, GA 30308",https://www.zillow.com/homedetails/818-Mentelle-Dr-NE-B-Atlanta-GA-30308/2082840275_zpid/,"$1,099,895",Townhouse for sale,5 ba,4 bds,"3,441 sqft","$1,068,356",Townhouse,2019,Forced air,Central,4 spaces,"10,367 sqft",$320,"$5,559"
"1392 Marion Walk SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1392-Marion-Walk-SE-Atlanta-GA-30315/69383179_zpid/,"$379,900",House for sale,3 ba,3 bds,"2,395 sqft","$374,135",Single Family,2006,Forced air,Central,2 spaces,"6,969 sqft",$159,"$1,903"
"840 United Ave SE UNIT 209, Atlanta, GA 30312",https://www.zillow.com/homedetails/840-United-Ave-SE-UNIT-209-Atlanta-GA-30312/283678019_zpid/,"$324,900",Condo for sale,2 ba,2 bds,"1,059 sqft","$318,239",Condo,2005,Forced air,Central,2 spaces,$385/month,$307,"$1,981"
"384 Ralph Mcgill Blvd NE UNIT 414, Atlanta, GA 30312",https://www.zillow.com/homedetails/384-Ralph-Mcgill-Blvd-NE-UNIT-414-Atlanta-GA-30312/88818735_zpid/,"$287,900",Condo for sale,2 ba,2 bds,"1,062 sqft","$284,978",Condo,2006,Forced air,Central,Attached Garage,$456/month,$271,"$1,870"
"174 Pearl St SE, Atlanta, GA",https://www.zillow.com/homedetails/174-Pearl-St-SE-Atlanta-GA-30316/2082850731_zpid/,"$850,000",New construction,4 ba,4 bds,"2,592 sqft","$834,985",Single Family,2019,Forced air,Central,4 spaces,No Data,$328,"$4,296"
"154 Clay St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/154-Clay-St-SE-Atlanta-GA-30317/14466674_zpid/,"$360,000",House for sale,2 ba,4 bds,"1,682 sqft","$358,071",Single Family,1937,Forced air,None,No Data,"4,356 sqft",$214,"$1,780"
"0 Morgan Pl SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/0-Morgan-Pl-SE-Atlanta-GA-30317/2082855548_zpid/,"$95,000",House for sale,-- ba,Studio,-- sqft,"$88,768",Single Family,No Data,No Data,No Data,No Data,"8,712 sqft",No Data,$510
"451 Hemlock Cir SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/451-Hemlock-Cir-SE-Atlanta-GA-30316/35836530_zpid/,"$495,000",House for sale,2 ba,3 bds,"1,736 sqft","$492,082",Single Family,1920,Forced air,Central,1 space,"7,230 sqft",$285,"$2,431"
"709 Hobart Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/709-Hobart-Ave-SE-Atlanta-GA-30312/35869648_zpid/,"$365,000",House for sale,1 ba,2 bds,"1,026 sqft","$363,361",Single Family,1930,Other,Other,3 spaces,0.34 acres,$356,"$1,793"
"1661 La France St NE UNIT 224, Atlanta, GA 30307",https://www.zillow.com/homedetails/1661-La-France-St-NE-UNIT-224-Atlanta-GA-30307/70834507_zpid/,"$359,000",Condo for sale,2 ba,2 bds,"1,476 sqft","$348,942",Condo,2004,Forced air,Central,3 spaces,$393/month,$243,"$2,168"
"389 E Side Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/389-E-Side-Ave-SE-Atlanta-GA-30316/14456516_zpid/,"$295,900",House for sale,1 ba,1 bd,"1,100 sqft","$287,488",Single Family,1925,Forced air,Central,2 spaces,"8,712 sqft",$269,"$1,463"
"1036 Rosewood Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1036-Rosewood-Dr-NE-Atlanta-GA-30306/35895403_zpid/,"$1,079,000",House for sale,3 ba,4 bds,"3,521 sqft","$1,047,450",Single Family,1930,Forced air,Central,Detached Garage,"8,842 sqft",$306,"$5,453"
"640 Glen Iris Dr NE APT 317, Atlanta, GA 30308",https://www.zillow.com/homedetails/640-Glen-Iris-Dr-NE-APT-317-Atlanta-GA-30308/82620515_zpid/,"$325,000",Condo for sale,1 ba,1 bd,750 sqft,"$321,151",Condo,2001,Forced air,Central,2 spaces,$223/month,$433,"$1,819"
"1858 Gordon Mnr NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1858-Gordon-Mnr-NE-Atlanta-GA-30307/70831227_zpid/,"$274,900",Condo for sale,2 ba,1 bd,"1,050 sqft","$262,637",Condo,2005,Forced air,Central,2 spaces,$311/month,$262,"$1,670"
"301 Englewood Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/301-Englewood-Ave-SE-Atlanta-GA-30315/69366078_zpid/,"$365,900",House for sale,3 ba,3 bds,"2,332 sqft","$358,779",Single Family,2004,Forced air,Central,1 space,"9,452 sqft",$157,"$1,797"
"1197 Beechview Dr SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1197-Beechview-Dr-SE-Atlanta-GA-30316/14446467_zpid/,"$337,000",House for sale,2 ba,2 bds,"1,010 sqft","$322,065",Single Family,1935,Forced air,Central,"Off street, Detached Garage",0.3 acres,$334,"$1,666"
"469 Atlanta Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/469-Atlanta-Ave-SE-Atlanta-GA-30315/35877251_zpid/,"$672,950",House for sale,4 ba,4 bds,"2,880 sqft","$653,414",Single Family,1950,Forced air,Central,2 spaces,"10,001 sqft",$234,"$3,401"
"790 Crestridge Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/790-Crestridge-Dr-NE-Atlanta-GA-30306/35930826_zpid/,"$747,500",House for sale,2 ba,3 bds,"2,051 sqft","$732,518",Single Family,1930,Forced air,Central,2 spaces,"10,018 sqft",$364,"$3,778"
"1120 Rosedale Dr NE APT 1, Atlanta, GA 30306",https://www.zillow.com/homedetails/1120-Rosedale-Dr-NE-APT-1-Atlanta-GA-30306/2082880832_zpid/,"$275,000",Condo for sale,1 ba,1 bd,930 sqft,,Condo,1930,Forced air,Central,No Data,$232/month,$296,"$1,583"
"1089 Lanier Blvd NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1089-Lanier-Blvd-NE-Atlanta-GA-30306/35895647_zpid/,"$1,225,000",House for sale,3 ba,4 bds,"3,062 sqft","$1,197,368",Single Family,1930,Forced air,Central,2 spaces,"8,058 sqft",$400,"$6,191"
"255 Southerland Ter NE UNIT 106, Atlanta, GA 30307",https://www.zillow.com/homedetails/255-Southerland-Ter-NE-UNIT-106-Atlanta-GA-30307/87680643_zpid/,"$425,000",Townhouse for sale,3.5 ba,3 bds,"2,274 sqft","$411,290",Townhouse,2011,"Forced air, Other","Central, Other",1 space,873 acres,$187,"$2,101"
"338 Brownstones Cir NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/338-Brownstones-Cir-NE-Atlanta-GA-30312/249121017_zpid/,"$650,000",Townhouse for sale,4 ba,3 bds,"2,668 sqft","$640,783",Townhouse,2016,No Data,No Data,Attached Garage,"1,045 sqft",$244,"$3,305"
"2566 Knox St NE, Atlanta, GA",https://www.zillow.com/homedetails/2566-Knox-St-NE-Atlanta-GA-30317/14465420_zpid/,"$499,900",New construction,3 ba,3 bds,"1,600 sqft","$486,656",Single Family,2017,Forced air,Central,1 space,"4,356 sqft",$312,"$2,472"
"348 Sisson Ave NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/348-Sisson-Ave-NE-Atlanta-GA-30317/14469714_zpid/,"$320,000",House for sale,2 ba,3 bds,"1,351 sqft",,Single Family,1941,Forced air,Central,No Data,"8,712 sqft",$237,"$1,582"
"1560 New St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1560-New-St-NE-Atlanta-GA-30307/14468815_zpid/,"$629,000",House for sale,3 ba,4 bds,"2,249 sqft",,Single Family,2019,No Data,Other,No Data,"4,356 sqft",$280,"$3,200"
"811 Brookridge Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/811-Brookridge-Dr-NE-Atlanta-GA-30306/35930820_zpid/,"$755,000",House for sale,3 ba,4 bds,"2,660 sqft","$739,498",Single Family,1930,Forced air,Central,1 space,"8,415 sqft",$284,"$3,816"
"673 Boulevard Ne, Atlanta, GA 30308",https://www.zillow.com/homedetails/673-Boulevard-Ne-Atlanta-GA-30308/65461538_zpid/,"$169,900",Condo for sale,1 ba,1 bd,710 sqft,"$168,238",Condo,1940,Forced air,Central,No Data,$320/month,$239,"$1,195"
"692 Highland Ave NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/692-Highland-Ave-NE-Atlanta-GA-30312/35860113_zpid/,"$1,099,000",House for sale,3 ba,3 bds,"1,564 sqft",,Single Family,1930,Forced air,Central,Off street,"7,405 sqft",$703,"$5,554"
"95 Leslie St SE, Atlanta, GA",https://www.zillow.com/homedetails/95-Leslie-St-SE-Atlanta-GA-30317/14467519_zpid/,"$485,000",New construction,3 ba,3 bds,"1,846 sqft","$470,798",Single Family,2018,Heat pump,Central,2 spaces,"8,712 sqft",$263,"$2,398"
"301 10th St NE APT 12, Atlanta, GA 30309",https://www.zillow.com/homedetails/301-10th-St-NE-APT-12-Atlanta-GA-30309/35931353_zpid/,"$270,000",Condo for sale,1 ba,1 bd,804 sqft,"$266,724",Condo,1930,Other,Other,1 space,$269/month,$336,"$1,595"
"697 Ralph Mcgill Blvd NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/697-Ralph-Mcgill-Blvd-NE-Atlanta-GA-30312/35857838_zpid/,"$560,000",House for sale,2 ba,2 bds,"1,218 sqft","$548,519",Single Family,1935,Forced air,Central,No Data,"6,272 sqft",$460,"$2,750"
"1388 La France St NE UNIT 1, Atlanta, GA 30307",https://www.zillow.com/homedetails/1388-La-France-St-NE-UNIT-1-Atlanta-GA-30307/2082930969_zpid/,"$625,900",Townhouse for sale,4 ba,4 bds,-- sqft,"$607,088",Townhouse,2017,Heat pump,Central,No Data,No Data,No Data,"$3,354"
"1100 Arkwright Pl SE # B, Atlanta, GA",https://www.zillow.com/homedetails/1100-Arkwright-Pl-SE-B-Atlanta-GA-30317/2082931972_zpid/,"$699,900",New construction,4 ba,4 bds,"2,318 sqft","$681,838",Townhouse,2019,No Data,No Data,No Data,"7,753 sqft",$302,"$3,537"
"1332 La France St NE APT 4, Atlanta, GA 30307",https://www.zillow.com/homedetails/1332-La-France-St-NE-APT-4-Atlanta-GA-30307/70831627_zpid/,"$345,000",Townhouse for sale,3 ba,3 bds,"1,428 sqft","$340,535",Townhouse,2005,Forced air,Central,2 spaces,762 sqft,$242,"$1,956"
"1118 Faith Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1118-Faith-Ave-SE-Atlanta-GA-30316/35836372_zpid/,"$469,900",House for sale,2 ba,3 bds,"1,581 sqft",,Single Family,1930,Forced air,Central,Attached Garage,"9,748 sqft",$297,"$2,308"
"1253 Caroline St NE APT 228, Atlanta, GA 30307",https://www.zillow.com/homedetails/1253-Caroline-St-NE-APT-228-Atlanta-GA-30307/2083122772_zpid/,"$310,000",Condo for sale,2 ba,2 bds,"1,344 sqft","$304,431",Condo,2006,Forced air,Central,2 spaces,$313/month,$231,"$1,846"
"597 Pickett St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/597-Pickett-St-SE-Atlanta-GA-30316/65460969_zpid/,"$670,000",House for sale,3 ba,4 bds,"2,395 sqft","$654,847",Single Family,2002,Forced air,Central,2 spaces,"4,094 sqft",$280,"$3,386"
"925 Garrett St SE APT 215, Atlanta, GA 30316",https://www.zillow.com/homedetails/925-Garrett-St-SE-APT-215-Atlanta-GA-30316/71756635_zpid/,"$280,000",Condo for sale,1 ba,1 bd,983 sqft,"$283,430",Condo,2005,Forced air,Central,1 space,$239/month,$285,"$1,614"
"2507 Tilson Rd, Decatur, GA 30032",https://www.zillow.com/homedetails/2507-Tilson-Rd-Decatur-GA-30032/37769950_zpid/,"$299,999",House for sale,2 ba,4 bds,"1,887 sqft","$296,929",Single Family,1955,Forced air,Central,1 space,0.3 acres,$159,"$1,483"
"584 Goldsboro Rd NE APT C, Atlanta, GA 30307",https://www.zillow.com/homedetails/584-Goldsboro-Rd-NE-APT-C-Atlanta-GA-30307/112822193_zpid/,"$200,000",Condo for sale,1 ba,2 bds,840 sqft,"$197,000",Condo,1951,Forced air,Central,1 space,$300/month,$238,"$1,336"
"885 Briarcliff Rd NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/885-Briarcliff-Rd-NE-Atlanta-GA-30306/59934248_zpid/,"$209,900",Townhouse for sale,1 ba,1 bd,896 sqft,"$209,881",Townhouse,1961,Forced air,Other,1 space,"1,028 sqft",$234,"$1,407"
"885 Briarcliff Rd NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/885-Briarcliff-Rd-NE-Atlanta-GA-30306/59934247_zpid/,"$209,900",Townhouse for sale,1 ba,1 bd,896 sqft,"$209,525",Townhouse,1961,Forced air,Other,1 space,"1,028 sqft",$234,"$1,387"
"1349 Miller Reed Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1349-Miller-Reed-Ave-SE-Atlanta-GA-30315/35876924_zpid/,"$369,000",House for sale,2 ba,3 bds,"1,008 sqft","$365,366",Single Family,1964,Forced air,Central,3 spaces,"8,197 sqft",$366,"$1,812"
"339 S Howard St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/339-S-Howard-St-SE-Atlanta-GA-30317/2082950435_zpid/,"$369,000",House for sale,2 ba,3 bds,"1,357 sqft","$352,267",Single Family,1940,No Data,No Data,3 spaces,0.3 acres,$272,"$1,825"
"1020 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1020-Moreland-Ave-SE-Atlanta-GA-30316/14446462_zpid/,"$440,000",House for sale,4 ba,4 bds,"4,100 sqft","$419,932",Single Family,1930,Forced air,Central,1 space,0.3 acres,$107,"$2,176"
"290 Georgia Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/290-Georgia-Ave-SE-Atlanta-GA-30312/35877449_zpid/,"$625,000",House for sale,4 ba,4 bds,"2,758 sqft","$611,638",Single Family,1920,Heat pump,Central,2 spaces,"7,143 sqft",$227,"$3,159"
"323 Edgewood Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/323-Edgewood-Ave-SE-Atlanta-GA-30312/82619556_zpid/,"$650,000",Townhouse for sale,2 ba,2 bds,"2,350 sqft","$641,589",Townhouse,1910,Heat pump,"Central, Other",1 space,"2,350 sqft",$277,"$3,485"
"821 Ralph Mcgill Blvd NE APT 2305, Atlanta, GA 30306",https://www.zillow.com/homedetails/821-Ralph-Mcgill-Blvd-NE-APT-2305-Atlanta-GA-30306/69375192_zpid/,"$210,000",Condo for sale,1 ba,1 bd,650 sqft,"$207,104",Condo,2001,Forced air,Central,1 space,$207/month,$323,"$1,288"
"480 John Wesley Dobbs Ave NE UNIT 430, Atlanta, GA",https://www.zillow.com/homedetails/480-John-Wesley-Dobbs-Ave-NE-UNIT-430-Atlanta-GA-30312/121352176_zpid/,"$233,000",New construction,1 ba,1 bd,795 sqft,"$229,987",Condo,2008,Forced air,Central,1 space,$292/month,$293,"$1,491"
"1371 George W Brumley Way SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1371-George-W-Brumley-Way-SE-Atlanta-GA-30317/14467365_zpid/,"$535,000",House for sale,4 ba,4 bds,"2,541 sqft","$541,538",Single Family,2016,Forced air,Central,No Data,"8,712 sqft",$211,"$2,645"
"868 Rosedale Rd NE # 868, Atlanta, GA 30306",https://www.zillow.com/homedetails/868-Rosedale-Rd-NE-868-Atlanta-GA-30306/14479454_zpid/,"$749,000",Condo for sale,3 ba,3 bds,"2,650 sqft",,Condo,2002,Forced air,Central,Attached Garage,No Data,$283,"$3,785"
"1388 La France Street Ne #1, Atlanta, GA 30307",https://www.zillow.com/homedetails/1388-La-France-Street-Ne-1-Atlanta-GA-30307/2093463086_zpid/,"$625,000",Townhouse for sale,4 ba,4 bds,"2,403 sqft","$607,682",Townhouse,2017,No Data,No Data,4 spaces,No Data,$260,"$3,350"
"655 Mead St SE UNIT 68, Atlanta, GA 30312",https://www.zillow.com/homedetails/655-Mead-St-SE-UNIT-68-Atlanta-GA-30312/2082992437_zpid/,"$350,000",Townhouse for sale,3 ba,3 bds,"1,750 sqft","$346,421",Townhouse,2005,No Data,No Data,2 spaces,749 sqft,$200,"$1,958"
"963 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/963-Moreland-Ave-SE-Atlanta-GA-30316/35828712_zpid/,"$210,000",House for sale,3 ba,4 bds,"2,029 sqft","$237,570",Single Family,1925,Forced air,Central,No Data,"10,001 sqft",$103,"$1,081"
"983 Walker Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/983-Walker-Ave-SE-Atlanta-GA-30316/35869501_zpid/,"$299,900",House for sale,1 ba,3 bds,"1,032 sqft","$296,788",Single Family,1988,Forced air,Central,No Data,"7,492 sqft",$291,"$1,473"
"520 Park Ave SE UNIT 1, Atlanta, GA 30312",https://www.zillow.com/homedetails/520-Park-Ave-SE-UNIT-1-Atlanta-GA-30312/69369570_zpid/,"$175,000",Condo for sale,1 ba,2 bds,875 sqft,"$173,093",Condo,1960,Forced air,Central,Off street,$180/month,$200,"$1,081"
"1079 Faith Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1079-Faith-Ave-SE-Atlanta-GA-30316/35836504_zpid/,"$350,000",Make Me Move®,1 ba,2 bds,"1,108 sqft","$353,827",Single Family,1940,Other,Central,Detached Garage,"10,372 sqft",$316,"$1,719"
"2882 Alston Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2882-Alston-Dr-SE-Atlanta-GA-30317/14457543_zpid/,"$284,000",House for sale,1 ba,2 bds,"1,043 sqft","$279,605",Single Family,1950,Forced air,Central,2 spaces,0.3 acres,$272,"$1,404"
"1993 Memorial Dr SE, Atlanta, GA",https://www.zillow.com/homedetails/1993-Memorial-Dr-SE-Atlanta-GA-30317/14457365_zpid/,"$599,900",New construction,4 ba,4 bds,"3,000 sqft","$594,867",Single Family,2019,Forced air,Central,Attached Garage,"8,712 sqft",$200,"$2,968"
"1060 Rosedale Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1060-Rosedale-Dr-NE-Atlanta-GA-30306/35895957_zpid/,"$1,250,000",House for sale,4 ba,4 bds,"3,500 sqft","$1,220,561",Single Family,1910,Forced air,Central,4 spaces,"6,359 sqft",$357,"$6,318"
"262 Martha Ave NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/262-Martha-Ave-NE-Atlanta-GA-30317/14469870_zpid/,"$549,900",House for sale,3 ba,4 bds,"2,750 sqft","$542,880",Single Family,1966,Forced air,Central,2 spaces,"8,712 sqft",$200,"$2,719"
"0 Estoria St, Atlanta, GA 30316",https://www.zillow.com/homedetails/0-Estoria-St-Atlanta-GA-30316/2083036081_zpid/,"$369,900",For sale by owner,,"5,227 sqft lot",,,,,,,,,,"$1,817"
"779 Clifton Rd SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/779-Clifton-Rd-SE-Atlanta-GA-30316/14455493_zpid/,"$225,000",House for sale,2 ba,2 bds,912 sqft,"$224,346",Single Family,1947,Forced air,Central,No Data,0.3 acres,$247,"$1,166"
"170 Boulevard SE APT H303, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-H303-Atlanta-GA-30312/2089323983_zpid/,"$275,000",Condo for sale,1 ba,1 bd,794 sqft,"$265,944",Condo,2006,Forced air,Central,2 spaces,$217/month,$346,"$1,568"
"1278 Dahlgren Ln SE # 4, Atlanta, GA 30316",https://www.zillow.com/homedetails/1278-Dahlgren-Ln-SE-4-Atlanta-GA-30316/2083056671_zpid/,"$365,000",Townhouse for sale,4 ba,3 bds,"2,004 sqft","$355,527",Townhouse,2018,Electric,Other,No Data,No Data,$182,"$1,815"
"1136 Boulevard Dr NE, Atlanta, GA",https://www.zillow.com/homedetails/1136-Boulevard-Dr-NE-Atlanta-GA-30317/35843541_zpid/,"$758,900",New construction,3 ba,4 bds,"2,467 sqft","$740,465",Single Family,2019,"Forced air, Heat pump",Central,4 spaces,"9,452 sqft",$308,"$3,836"
"885 Briarcliff Rd NE APT 27, Atlanta, GA 30306",https://www.zillow.com/homedetails/885-Briarcliff-Rd-NE-APT-27-Atlanta-GA-30306/2083070822_zpid/,"$204,900",Townhouse for sale,1 ba,1 bd,896 sqft,"$196,556",Townhouse,1961,Forced air,Central,No Data,No Data,$229,"$1,382"
"480 John Wesley Dobbs Ave NE UNIT 713, Atlanta, GA 30312",https://www.zillow.com/homedetails/480-John-Wesley-Dobbs-Ave-NE-UNIT-713-Atlanta-GA-30312/92193731_zpid/,"$219,000",Condo for sale,1 ba,1 bd,795 sqft,"$222,655",Condo,2008,Other,Central,1 space,$292/month,$275,"$1,419"
"933 Garrett St SE APT 303, Atlanta, GA 30316",https://www.zillow.com/homedetails/933-Garrett-St-SE-APT-303-Atlanta-GA-30316/71758527_zpid/,"$374,900",Condo for sale,2 ba,2 bds,"1,436 sqft","$364,875",Condo,2005,Forced air,Central,"Off street, On street, Detached Garage",$25/month,$261,"$1,866"
"260 Haas Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/260-Haas-Ave-SE-Atlanta-GA-30316/14456376_zpid/,"$400,000",House for sale,2 ba,3 bds,"2,300 sqft","$388,628",Single Family,1928,"Forced air, Heat pump",Central,Off street,"8,712 sqft",$174,"$1,978"
"1321 Heights Park Dr SE # 25, Atlanta, GA 30316",https://www.zillow.com/homedetails/1321-Heights-Park-Dr-SE-25-Atlanta-GA-30316/2083088307_zpid/,"$339,721",Townhouse for sale,3 ba,3 bds,"1,867 sqft","$332,375",Townhouse,2019,Forced air,Central,2 spaces,No Data,$182,"$1,768"
"1317 Heights Park Dr SE # 24, Atlanta, GA",https://www.zillow.com/homedetails/1317-Heights-Park-Dr-SE-24-Atlanta-GA-30316/2083088617_zpid/,"$328,852",New construction,3 ba,3 bds,"1,867 sqft","$321,573",Townhouse,2018,Forced air,Central,2 spaces,No Data,$176,"$1,715"
"1315 Heights Park Dr SE # 23, Atlanta, GA 30316",https://www.zillow.com/homedetails/1315-Heights-Park-Dr-SE-23-Atlanta-GA-30316/2083088694_zpid/,"$340,506",Townhouse for sale,3 ba,3 bds,"1,867 sqft","$333,274",Townhouse,2019,Forced air,Central,2 spaces,No Data,$182,"$1,772"
"680 Greenwood Ave NE APT 410, Atlanta, GA 30306",https://www.zillow.com/homedetails/680-Greenwood-Ave-NE-APT-410-Atlanta-GA-30306/69375755_zpid/,"$449,500",Condo for sale,2 ba,2 bds,"1,372 sqft",,Condo,2004,Forced air,Central,2 spaces,$286/month,$328,"$2,494"
